id,name,price,link,source
25,Opti-Mix Mortar Plasticiser 1L,7.81,https://www.tippers.com/products/opti-mix-mortar-plasticiser-1l.html?filter_set,Tippers
26,"Bostik Cement colours Black Liquid colour, 1L Plastic jerry can",11.09,https://www.diy.com/departments/bostik-cement-colours-black-liquid-colour-1l-plastic-jerry-can/5000403110356_BQ.prd,BQ
27,"Gyproc Magnolia Drywall primer, 10L Tub",83,https://www.diy.com/departments/gyproc-magnolia-drywall-primer-10l-tub/189927_BQ.prd,BQ
27,British Gypsum Gyproc Drywall Primer 10L,74.28,https://www.builderdepot.co.uk/british-gypsum-gyproc-drywall-primer-10l,Builderdepot
27,British Gypsum Gyproc Drywall Primer 10L,67.52,https://www.tippers.com/products/british-gypsum-gyproc-drywall-primer-10l.html?filter_set,Tippers
28,"20mm Limestone Chippings, Bulk Bag",70,https://www.diy.com/departments/20mm-limestone-chippings-bulk-bag/35695_BQ.prd,BQ
28,Bradfords 20mm Gravel Bulk Bag,64.8,https://www.bradfords.co.uk/20mm-gravel-abb044,Bradfords
28,20mm Pea Gravel/Shingle Bulk Bag,59.94,https://www.builderdepot.co.uk/20mm-pea-gravel-shingle-bulk-bag,Builderdepot
28,20mm Gravel Bulk Bag,50.34,https://www.tippers.com/products/20mm-gravel-bulk-bag.html?filter_set,Tippers
28,Travis Perkins Gravel and Shingle Bulk Bag 20mm,76.38,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-gravel-and-shingle-bulk-bag-20mm/p/938191?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
28,Tarmac 20mm Gravel - Jumbo Bag,71.25,https://www.wickes.co.uk/Tarmac-20mm-Gravel---Jumbo-Bag/p/131894,Wickes
29,"10mm Limestone Chippings, Bulk Bag",70,https://www.diy.com/departments/10mm-limestone-chippings-bulk-bag/35694_BQ.prd,BQ
29,Bradfords 10mm Gravel Bulk Bag,64.8,https://www.bradfords.co.uk/10mm-gravel-abb036,Bradfords
29,10mm Pea Gravel/Shingle Bulk Bag,59.94,https://www.builderdepot.co.uk/10mm-pea-gravel-shingle-bulk-bag,Builderdepot
29,10mm Gravel Bulk Bag,50.34,https://www.tippers.com/products/10mm-gravel-bulk-bag.html?filter_set,Tippers
29,Travis Perkins Gravel and Shingle Bulk Bag 10mm,76.38,https://www.travisperkins.co.uk/bagged-aggregates/travis-perkins-gravel-and-shingle-bulk-bag-10mm/p/938182?awc=16300_1681378749_1cb50d302aa4bca1ead92b46b8458c6f,TP
29,Tarmac 10mm Gravel Pea Shingle - Jumbo Bag,71.25,https://www.wickes.co.uk/Tarmac-10mm-Gravel-Pea-Shingle---Jumbo-Bag/p/131897,Wickes
30,"All-in Ballast, Bulk Bag",70,https://www.diy.com/departments/all-in-ballast-bulk-bag/35692_BQ.prd,BQ
30,Bradfords 20mm Yellow Ballast Bulk Bag,64.8,https://www.bradfords.co.uk/ballast-abb034,Bradfords
30,0/20mm All In Ballast Bulk Bag,59.94,https://www.builderdepot.co.uk/20mm-ballast-bulk-bag,Builderdepot
