product,price,category,link,image,description
Liquid Science CLEAR-A-DRAIN 1 Litre,£17.23,Cleaning Chemicals,https://www.travisperkins.co.uk/cleaning-chemicals/liquid-science-clear-a-drain-1-litre/p/505594,https://dam-assets.apps.travisperkins.group/V08xR/GPID_1000330147_IMG_00.jpeg?width=300&height=300,"A radical chemical blend containing a sophisticated mixture of alkaline materials and wetting agents to attack varied types of blockages whether caused by hair, grease, fat, oils, etc.. Heavier than water the unique formula holds the active chemicals together, allowing them to sink to the source of the problem with minimum loss of activity.Heavy duty formulation makes it suitable for both the shock treatment and regular dosing of drains all year roundWhen used as a preventative maintenance measure will ensure free flowing systemsIt is the most powerful liquid alkali chemical blend availableVersatile – can be used in all types of drains and grease trapsReduces foul odours – kills bacteria, fungi and algae; destroys decomposing and rotting matter that are often the cause of offensive smellsNo harsh fumes – remains stable at high temperaturesHarmless to the environment – causes no hazards when critical dilution is exceededCLEAR-A-DRAIN is 100% water soluble and mixes with hard or soft waterView more"
Liquid Science Viscosan Toilet Descaler and Cleaner 1 Litre,£11.89,Cleaning Chemicals,https://www.travisperkins.co.uk/cleaning-chemicals/liquid-science-viscosan-toilet-descaler-and-cleaner-1-litre/p/793911,https://dam-assets.apps.travisperkins.group/Q0p1d/GPID_1000079072_IMG_00.png?width=300&height=300,"A concentrated, perfumed, thick toilet cleaner and descaler which quickly removes scale and organic stains from urinals and bowls and pleasant to useQuickly removes scale and organic stains from urinals and bowlsIts powerful action kills bacteria and makes urinals safePleasant to use"
Arctic Blow Pipe Spray Duster 120ml ZE29,£16.75,Cleaning Chemicals,https://www.travisperkins.co.uk/cleaning-chemicals/arctic-blow-pipe-spray-duster-120ml-ze29/p/241648,https://dam-assets.apps.travisperkins.group/orm69ww/GPID_1100415275_IMG_00.jpg?width=300&height=300,"High power duster spray, designed to force dust and debris out of hard to reach areas.150ml canNon-flammable formula for safetyCan be used invertedIdeal non-contact cleaning agent"
Pine D Mould 18mm x 6mm x 2400mm,£4.87,Cover Mouldings,https://www.travisperkins.co.uk/decorative-mouldings/pine-d-mould-18mm-x-6mm-x-2400mm/p/278903,https://dam-assets.apps.travisperkins.group/JEyDz/GPID_1100517945_IMG_00.jpeg?width=300&height=300,"A cover mould is a multi purpose piece of timber which is typically used as a decorative finish on surfaces such as walls and ceilings as well as on timber furniture.The D shape moulding has a nice, soft edge which adds an excellent tradition finishing touchCover moulds can be easily installed using adhesive and pinsOur cover mouldings are available in light hardwood, oak, pine and red hardwoodA cover mould can be used on its own to add decoration to your room or furniture or be used to compliment existing mouldings such as architraves and skirtingA cover mould can be used on its own to add decoration to your room or furniture or be used to compliment existing mouldings such as architraves and skirtingOur cover mouldings are designed to be used indoors and are not suitable for exterior useOur Pine products are made using a lightweight, straight grained softwood which is easy to work with. Due to its strength, elasticity and relatively low cost, pine is a popular choice to be used in a variety of projects.To finish off pine, lightly sand before applying wood stain, varnish or a lacquerView more"
Light Hardwood D Mould 31mm x 6mm x 2400mm,£13.64,Cover Mouldings,https://www.travisperkins.co.uk/decorative-mouldings/light-hardwood-d-mould-31mm-x-6mm-x-2400mm/p/278882,https://dam-assets.apps.travisperkins.group/LGXAe/GPID_1100517932_IMG_00.jpeg?width=300&height=300,"A cover mould is a multi purpose piece of timber which is typically used as a decorative finish on surfaces such as walls and ceilings as well as on timber furniture.The D shape moulding has a nice, soft edge which adds an excellent tradition finishing touchCover moulds can be easily installed using adhesive and pinsOur cover mouldings are available in light hardwood, oak, pine and red hardwoodA cover mould can be used on its own to add decoration to your room or furniture or be used to compliment existing mouldings such as architraves and skirtingA cover mould can be used on its own to add decoration to your room or furniture or be used to compliment existing mouldings such as architraves and skirtingOur cover mouldings are designed to be used indoors and are not suitable for exterior useOur light hardwood is both a light weight and strong timber which is easy to work with and a good, natural lustre. Because of its strength to weight ratio and relative inexpensive price the light hardwood is a solid choice for a wide range of uses.To finish off light hardwood, lightly sand before applying wood stain, varnish or lacquerView more"
External Softwood FLB Redwood Framed Ledged & Braced Door,£113.15,External Softwood Doors,https://www.travisperkins.co.uk/external-softwood-doors/external-softwood-flb-redwood-framed-ledged-and-braced-door/p/9000181594,https://dam-assets.apps.travisperkins.group/YNOPd/GPID_1000264828_IMG_00.jpeg?width=300&height=300,"This framed ledged and braced door is constructed of solid timber tongued and grooved boards, complete with exposed frame for greater stability. This is ideal for garden, outbuilding and utilitarian usesDoors are unfinished and require fully finishing on site to protect and prevent the ingress of moisture, which can cause warping.Does not include door furniture. Door furniture sold separately.A modern reproduction of the traditional cottage door, with an attractive boarded appearance with top and bottom rrailsA solid timber tongued and grooved door, complete with exposed frame, ledges and braces on the reverse sideCan be trimmed up to a maximum of 12mm on any edge - any reduction should be removed evenly from each edgeIt is recommended that 3 hinges should be fitted to all doors weighing more than 20kg and doors where large differences of temperature or humidity on opposing faces can be expected. Recessed furniture and locks must not be placed within 76mm (3"") of any rSupplied unfinished, seal and finish using at least 3 coats of a quality external paint or stainThis is a natural timber product and variances in texture, colour and grain may be apparent.Door furniture sold separately.View more"
External Softwood Pine Ledged & Braced Door,£91.66,External Softwood Doors,https://www.travisperkins.co.uk/external-softwood-doors/external-softwood-pine-ledged-and-braced-door/p/9000181592,https://dam-assets.apps.travisperkins.group/dXpyJ/GPID_1000264834_IMG_00.jpeg?width=300&height=300,"Winslow ledged and braced external doors feature a traditional knotty pine design that is ideal for outbuildings and other utilitarian uses. Each door is supplied ready to paint, stain or varnish.Doors are unfinished and require fully finishing on site to protect and prevent the ingress of moisture, which can cause warping.Ledged and braced construction using quality tongue and grooved redwood boardCan be trimmed up to a maximum of 12mm on any edge - any reduction should be removed evenly from each edgeSupplied with ready to paint, stain or varnishNot suitable for treatment with any type of oil, polish or waxIt is recommended that 3 hinges should be fitted to all doors weighing more than 20kg and doors where large differences of temperature or humidity on opposing faces can be expected. Recessed furniture and locks must not be placed within 76mm (3"") of any rail/side joint as this will weaken the doorA natural timber product, a variation in texture, colour and grain can be apparentDoes not include door furnitureDoor furniture sold separatelyView more"
External Softwood Redwood 2XG Unglazed Door,£90.11,External Softwood Doors,https://www.travisperkins.co.uk/external-softwood-doors/external-softwood-redwood-2xg-unglazed-door/p/9000181595,https://dam-assets.apps.travisperkins.group/l3z5r/GPID_1000022341_IMG_00.jpg?width=300&height=300,"This 2XG door, is the ideal back door, allowing plenty of light into the room, the bottom panel can be removed to allow for glass replacement, converting the door to a 2XGGDoors are unfinished and require fully finishing on site to protect and prevent the ingress of moisture, which can cause warping.Does not include door furniture. Door furniture sold separately.A simple functional door ideal to be used as a back doorA dowelled constructed door, the bottom panel can be removed to allow for glass replacement, glazing beads supplied loose pinnedCan be trimmed up to a maximum of 12mm on any edge - any reduction should be removed evenly from each edgeIt is recommended that 3 hinges should be fitted to all doors weighing more than 20kg and doors where large differences of temperature or humidity on opposing faces can be expected.Supplied unfinished, seal and finish using at least 3 coats of a quality external paintSupplied unglazed suitable for both single or double glazed unitSolid timber constructionSuitable for paint, stain or varnishView more"
Oregon Gothic White Oak Exterior Door,£270.00,External Softwood Doors,https://www.travisperkins.co.uk/external-softwood-doors/oregon-gothic-white-oak-exterior-door/p/9000235986,https://dam-assets.apps.travisperkins.group/xLLYk/GPID_1100570652_IMG_00.jpg?width=300&height=300,"Make a grand entrance with the striking Gothic door design from the Oregon exterior door range. Arched, decorative glass certainly makes this door stand out from the rest. Door only supplied, frame, hardware and fixings to be purchased separately.Oregon external doors are suppled unfinished ready for your own choice of stain or lacquer.Featuring a premium oak finish for that luxury feel, to make a real statement.American White Oak Veneer"
Fillcrete Fillaboard Expansion Joint Strip 12mm x 100mm x 2440mm,£4.61,Expansion Jointing,https://www.travisperkins.co.uk/expansion-jointing/fillcrete-fillaboard-expansion-joint-strip-12mm-x-100mm-x-2440mm/p/781011,https://dam-assets.apps.travisperkins.group/KRZ1P/GPID_1000025296_IMG_00.jpeg?width=300&height=300,"12mm 100 x 2440 Strips of Fillaboard Bitumen Impregnated fibreboard for all your requirements for concrete expansion and movement joints packed in 20 strips per pack.General purpose expansion joint filler meeting DOT and BAA specificationsManufactured from specially formulated impregnated fibreboard with a minimum 10% bitumen contentTypical applications would include: concrete paths, foundation slabs, roads and airport runwaysIt can also be used as a backfill protection board for below ground applicationsPacked in 20 strips per packView more"
