productID,supplierID,price,link
11,1,8.54,https://www.diy.com/departments/blue-circle-multipurpose-ready-mixed-concrete-20kg-bag/135767_BQ.prd
11,2,10.25,https://www.travisperkins.co.uk/ready-mixed-concrete-and-mortar/blue-circle-multi-purpose-ready-to-use-concrete-20kg/p/346658
