id,name,image,description,category,sub_category,main_category,top_seller,price
14,"One Coat Damp Seal White Waterproofer, 2.5L Tin, 2.5L",/images/products/one-coat-damp-seal-white-waterproofer-2-5l-tin-2-5l.png,"Ronseal Damp Seal is ideal for covering damp, water & other household stains, and is a must have purchase for any redecorating project around the interior of your home. It'll seal it, permanently cover any damp stains and stop it damaging your paint. It dries in 4 hours and comes in an easily storable tin can. Ronseal One Coat Damp Seal can be applied straight onto damp.",Additives & chemicals,building_supplies,building_hardware,0,40.00
15,"Ronseal White Waterproof sealing compound, 0.4L Tin",/images/products/ronseal-white-waterproof-sealing-compound-0-4l-tin.png,"It dries in just 10 minutes for a quicker job and because there are no brushes to clean up when you're finished, sealing your walls couldn't be easier. This 400ml damp seal from Ronseal is ideal for covering damp, water & other household stains, and is a must have purchase for any redecorating project around the interior of your home. Quick drying2-3 coats required, recoat in 10 minutes. This aerosol damp seal permanently blocks damp stains, preventing damage to your top coat.",Additives & chemicals,building_supplies,building_hardware,0,12.00
16,Bostik Grey Tanking slurry Bag,/images/products/bostik-grey-tanking-slurry-bag.png,"Store for up to 6 months from date of manufacture in original, unopened packaging, clear of the ground, in cool, dry conditions within the temperature range +5°C to +25°C and out of direct sunlight. It resists positive and negative water pressure and is water vapour permeable. Resists positive and negative water pressure. Bostik Tanking Slurry is a breathable, waterproof coating for sound internal brickwork, concrete and stone.",Additives & chemicals,building_supplies,building_hardware,0,39.00
17,"Tarmac Edging & jointing spray, 0.15L Aerosol",/images/products/tarmac-edging-jointing-spray-0-15l-aerosol.png,Seals cracks instantly. Improving bond.,Additives & chemicals,building_supplies,building_hardware,0,8.19
18,Bostik Red Powder colour Tub,/images/products/bostik-red-powder-colour-tub.png,"Suitable for concrete, mortar, renders (e.g. walls, swimming pools) & flooring (sand/cement screeds & granolithic floor)Does not affect the performance of mix. This admixture allows cement to be dyed and ensures an even distribution and depth of colour. Wear suitable protective clothing, gloves and goggles when using this product. Can be easily dispersed in a liquid mix.",Additives & chemicals,building_supplies,building_hardware,0,10.40
19,Bostik White Concrete fibres Bag,/images/products/bostik-white-concrete-fibres-bag.png,"Can be used with mortar, floor slabs, hard standing, pathways & driveways. Provides protection against freeze/thaw damage. Minimises cracking and shrinkage. Enough for 50kg of concrete.",Additives & chemicals,building_supplies,building_hardware,0,30.00
20,"Bostik Cement colours Black Liquid colour, 1L Plastic jerry can",/images/products/bostik-cement-colours-black-liquid-colour-1l-plastic-jerry-can.png,"Bostik Liquid Colours for Cement are a high quality pigment dispersion for colouring cement mixes such as mortar, render and screeds. Bostik Liquid Colours for Cement are suitable for colouring mortar and render and sand/cement screeds. Bostik Liquid Colours for Cement use pigments that conform to EN 12878. The colours are lightfast and disperse easily and evenly into the mix.",Additives & chemicals,building_supplies,building_hardware,0,11.09
21,Bostik White Concrete fibres Bag,/images/products/bostik-white-concrete-fibres-bag.png,"Can be used with mortar, floor slabs, hard standing, pathways & driveways. Wear suitable protective clothing, gloves and goggles when using this product. This product is formulated to reduce cracking and shrinkage in mortar & concrete. Provides protection against freeze/thaw damage.",Additives & chemicals,building_supplies,building_hardware,0,30.00
22,"Bostik Black Waterproofer, 2.5L Metal container",/images/products/bostik-black-waterproofer-2-5l-metal-container.png,"Bostik Bituminous Black Paint is a solvent-based protective coating for external waterproofing and weather protection of ferrous and non-ferrous metals, concrete, roofing felt, fibre cement, corrugated iron, asphalt and wood. For wood, metal, roofing felt & cement. Refer to safety data sheet for full precautions. Weather protection for metalwork and roofs.",Additives & chemicals,building_supplies,building_hardware,0,17.34
23,Bostik Cementone Green Walls Plasterer's stabilising primer,/images/products/bostik-cementone-stabilising-primer-5l-tub.png,Primes & stabilises problem surfaces on previously plastered walls. Primes and stabilises problem surfaces on previously plastered walls. Excellent key for skim coats. Coloured for controlled application.,Additives & chemicals,building_supplies,building_hardware,0,35.00
24,"Polycell Primer, 2.5L Tub",/images/products/polycell-primer-2-5l-tub.png,"Ideal for heavy duty cleaning, this 2.5L primer from Polycell is great for sealing, stabilising & preparing flaky, powdery or absorbent surfaces, providing a sound foundation that's ready to paint on exterior walls & ceilings. Applied with a roller & masking tape leaving a professional finish, once dried.",Additives & chemicals,building_supplies,building_hardware,0,27.00
25,"Bostik Smart adhesives Dark brown Concentrated mortar plasticiser, 1L Plastic bottle",/images/products/bostik-smart-adhesives-dark-brown-concentrated-mortar-plasticiser-1l-plastic-bottle.png,"Bostik Concentrated Mortar Plasticiser improves the workability and freeze thaw resistance of mortar without the addition of lime. Improves the workability and freeze/thaw resistance of mortars without adding lime. It's suitable for use in mortars for bricklaying, pointing, blockwork and rendering. Measuring chamber ensures accuracy of doses and less waste.",Additives & chemicals,building_supplies,building_hardware,0,11.70
26,"Bostik Cement colours Red Liquid colour, 1L Plastic jerry can",/images/products/bostik-cement-colours-red-liquid-colour-1l-plastic-jerry-can.png,"Bostik Liquid Colours for Cement are a high quality pigment dispersion for colouring cement mixes such as mortar, render and screeds. Bostik Liquid Colours for Cement are suitable for colouring mortar and render and sand/cement screeds. Bostik Liquid Colours for Cement use pigments that conform to EN 12878. The colours are lightfast and disperse easily and evenly into the mix.",Additives & chemicals,building_supplies,building_hardware,0,8.53
27,"Gyproc Magnolia Drywall primer, 10L Tub",/images/products/gyproc-magnolia-drywall-primer-10l-tub.png,Priming before applying plaster.,Additives & chemicals,building_supplies,building_hardware,0,83.00
28,"20mm Gravel, Bulk Bag",/images/products/20mm-gravel-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc. Use to create higher strength concrete mixes. Excellent drainage properties.",Aggregates & sand,building_supplies,building_hardware,1,70.00
29,"10mm Gravel, Bulk Bag",/images/products/20mm-gravel-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Use to create finer concrete mixes and bed pipes. Coverage will be dependent on depth laid, ground conditions etc. Not for decorative use.",Aggregates & sand,building_supplies,building_hardware,1,70.00
30,"All-in Ballast, Bulk Bag",/images/products/all-in-ballast-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc.",Aggregates & sand,building_supplies,building_hardware,1,70.00
31,"20mm Limestone Chippings, Bulk Bag",/images/products/20mm-limestone-chippings-bulk-bag.png,"Use to create high strength concrete mixes. Please note that product supplied comes from a natural source and may vary in colour, size and texture. For use in concreting applications. Ideal for pathways and drives.",Aggregates & sand,building_supplies,building_hardware,1,70.00
32,"MOT type 1 Subbase, Bulk Bag",/images/products/mot-type-1-subbase-bulk-bag.png,"Ideal as a sub-base for driveways and paths when compacted, with excellent load bearing properties. Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc. Crushed aggregate from 40mm to dust.",Aggregates & sand,building_supplies,building_hardware,1,70.00
33,"Tarmac Subbase, Large Bag",/images/products/mot-type-1-subbase-bulk-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture.",Aggregates & sand,building_supplies,building_hardware,0,4.95
34,"Tarmac 20mm Gravel, Large Bag",/images/products/tarmac-20mm-gravel-large-bag.png,"Please note that product supplied comes from a natural source and may vary in colour, size and texture. Coverage will be dependent on depth laid, ground conditions etc. Use to create higher strength concrete mixes. Excellent drainage properties.",Aggregates & sand,building_supplies,building_hardware,0,3.70
35,"Tarmac Sharp sand, Large Bag, 22.5kg",/images/products/tarmac-sharp-sand-large-bag-22-5kg.png,"Ideal for screeding, paths, blocks & slabs and concrete mixing. Mix with other materials to make lime mortar for pointing in general masonry. Ready for use.",Aggregates & sand,building_supplies,building_hardware,0,3.23
36,"Tarmac All-in Ballast, Large Bag",/images/products/tarmac-all-in-ballast-large-bag.png,Pre blended aggregates for use in concrete mixes with cement and water. Can be used to fill voids in construction projects. This is a natural product and colour may vary.,Aggregates & sand,building_supplies,building_hardware,0,3.68
