id,name,price,category,link,image,description,source,sub_category
295,Cooke & Lewis Golspie Grey Rectangular Bathroom Mirror (H)600mm (W)400mm,25,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-golspie-grey-rectangular-bathroom-mirror-h-600mm-w-400mm/1826915_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/showerdrape-chelsea-rectangular-frameless-bathroom-mirror-l-600mm-w-450mm~5023653042017_01c_MP?wid=284&hei=284,Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film,BQ,home_accessories
296,Cooke & Lewis Elbury Rectangular Bathroom Mirror (H)600mm (W)400mm,17,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-elbury-rectangular-bathroom-mirror-h-600mm-w-400mm/1624017_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-golspie-grey-rectangular-bathroom-mirror-h-600mm-w-400mm~3663602942177_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks. The rounded edges add a contemporary finish.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
297,Cooke & Lewis Dunnet Rectangular Bathroom Mirror (H)800mm (W)600mm,18,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-800mm-w-600mm/1624015_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-elbury-rectangular-bathroom-mirror-h-600mm-w-400mm~3663602942092_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
298,Cooke & Lewis Dunnet Rectangular Bathroom Mirror (H)450mm (W)300mm,10,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-450mm-w-300mm/1624008_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-800mm-w-600mm~3663602941934_01bq?wid=284&hei=284,"This simple and classic mirror is a perfect finishing touch to your bathroom, helping you create the feeling of light and space and ideal for all your bathroom tasks.Single-sidedNo magnification2 years guaranteeFeatures and benefitsMirror with a safety back film",BQ,home_accessories
299,Sensio Isla Rectangular Illuminated Bathroom mirror (H)500mm (W)390mm,65,Bathroom Mirrors,https://www.diy.com/departments/sensio-isla-rectangular-illuminated-bathroom-mirror-h-500mm-w-390mm/5060522088523_BQ.prd,https://media.diy.com/is/image/Kingfisher/cooke-lewis-dunnet-rectangular-bathroom-mirror-h-450mm-w-300mm~3663602941897_01bq?wid=284&hei=284,"The illuminated mirrors by Sensio are exclusively LED. Sensio has a vast selection of bathroom mirrors ranging from diffused illuminated mirrors, LED mirrors and illuminated cabinets.Assembly not requiredBluetooth connectivity: No bluetooth connectivityGuarantee - 5 yearsPlace the product in the desired position on the wall with the fixings included in the box. For more information, please refer to the installation guide included with the product.Features and benefitsSimple yet functional battery powered Isla LED mirror is a great addition to any bathroom.No wiring required as it is battery powered (suitable for use with rechargeable batteries)Rocker Switch to activate lights",BQ,home_accessories
299,Sensio Aspect Rectangular Illuminated Bathroom Mirror,146.34,Bathroom Mirrors,https://www.builderdepot.co.uk/sensio-aspect-rectangular-illuminated-bathroom-mirror,"https://www.builderdepot.co.uk/media/catalog/product/K/0/K022682_s_01_5920.jpg?quality=80&bg-color=255,255,255&fit=bounds&height=400&width=400&canvas=400:400","The Sensio Aspect Rectangular Illuminated Bathroom Mirror is a modern, elegant mirror that would serve as the stand out feature in any bathroom.The floating-edge design is fully illuminated giving a fantastic, unrivalled glow. The light is perfectly diffused ensuring no diodes are visible, giving a seamless effect. The IR sensor ensures the mirror glass remains clear of fingerprints and the integrated demister pad ensures the mirror face stays perfectly clear of steam and fog.Key FeaturesInfra-red sensorDemister padFloating LED borderDiffused LED’sMatte black finishIP44 Rated(H)700mm (W) 500mm (D) 63mmGuarantee2 year manufacturers guarantee (Full Terms and Conditions can be found Here)",Builderdepot,home_accessories
300,Cooke & Lewis Greenhill Round Bathroom Mirror (H)405mm (W)225mm,12,Bathroom Mirrors,https://www.diy.com/departments/cooke-lewis-greenhill-round-bathroom-mirror-h-405mm-w-225mm/1624038_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-rectangular-frameless-mirror-h-120cm-w-45cm~03548639_03c?wid=284&hei=284,"This extendable mirror is ideal for completing your bathroom space, the foldaway design means it’s compact enough for small spaces.Swivel arm, telescopic arm and maximum extension 625mmDouble-sidedMagnifyingSwivel arm, telescopic arm and maximum extension 625mm2 years guaranteeFeatures and benefitsMaximum extension of 625mmDouble-sided mirror offers 1x and 5x magnification optionsFeatures extendable and rotatable armsFixings supplied",BQ,home_accessories
301,Sensio Ester Plus Rectangular Frameless Illuminated mirror (H)650mm (W)500mm,100,Bathroom Mirrors,https://www.diy.com/departments/sensio-ester-plus-rectangular-frameless-illuminated-mirror-h-650mm-w-500mm/5060522089070_BQ.prd,https://media.diy.com/is/image/Kingfisher/ganji-white-curved-rectangular-framed-mirror-h-133cm-w-43cm~5023076022207_01c_bq?wid=284&hei=284,"Assembly not requiredBluetooth connectivity: No bluetooth connectivityGuarantee - 5 yearsPlace the product in the desired position on the wall with the fixings included in the box. For more information, please refer to the installation guide included with the product.Features and benefitsThe Sensio Ester Illuminated mirror is the perfect addition to any bathroom. Featuring LED lights and hand activation what more could you want.Cool white diffused feature light panelsSimple, hand swipe, infra-red sensor activation and controlIntegrated demister pad safely heats up the mirror surface to clear away steam - automatically activated when the lights are on",BQ,home_accessories
302,Livingandhome Black Bathroom Round Space Aluminum Wall Mirror 60 cm,39,Bathroom Mirrors,https://www.diy.com/departments/livingandhome-black-bathroom-round-space-aluminum-wall-mirror-60-cm/0735940281508_BQ.prd,https://media.diy.com/is/image/Kingfisher/sensio-ester-plus-rectangular-frameless-illuminated-mirror-h-650mm-w-500mm~5060522089070_01c_bq?wid=284&hei=284,"This is a beautiful practical round mirror. A simple yet classically designed mirror, perfect for quick check-ups before you leave the house. Featuring a sleek and slender metallic frame, its minimalist style is ideal for hanging up in your modern style bathroom and hallway. Inject some style and function in your living space.FramedNo magnification1 month guaranteeFeatures and benefitsUse our practical wall mirrors to add a touch of simple beauty to your bedroom, living room or dressing room; Decorate with this mirror, your room will look very spacious; The black border is fast defogging and clear imaging. The circular shape makes it look very simple.Blast-proof film covering the mirror60cm diameter wall mounted circular mirrorAluminum alloy black frame structure, smooth touch and elegant designDiameter: 60cmShape: RoundColour: Black",BQ,home_accessories
303,Livingandhome White Bathroom Round Space Aluminum Wall Mirror 40 cm,21,Bathroom Mirrors,https://www.diy.com/departments/livingandhome-white-bathroom-round-space-aluminum-wall-mirror-40-cm/0735940281539_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/livingandhome-black-bathroom-round-space-aluminum-wall-mirror-60-cm~0735940281508_01c_MP?wid=284&hei=284,"This is a beautiful practical round mirror. A simple yet classically designed mirror, perfect for quick check-ups before you leave the house. Featuring a sleek and slender metallic frame, its minimalist style is ideal for hanging up in your modern style bathroom and hallway. Inject some style and function in your living space.FramedNo magnification1 month guaranteeFeatures and benefitsUse our practical wall mirrors to add a touch of simple beauty to your bedroom, living room or dressing room; Decorate with this mirror, your room will look very spacious; The white border is fast defagging and clear imaging. The circular shape makes it look very simple.Blast-proof film covering the mirror40cm diameter wall mounted circular mirrorAluminum alloy white frame structure, smooth touch and elegant designDiameter: 40cmMaterial: MetalShape: RoundColour: White",BQ,home_accessories
