id,name,price,category,link,image,description,source
2841,"GoodHome Kirton Natural Oak effect Laminate Flooring, 2.13m² Pack of 8",29.83,Laminate flooring,https://www.diy.com/departments/goodhome-kirton-natural-oak-effect-laminate-flooring-2-13m-pack-of-8/3663602536840_BQ.prd,https://media.diy.com/is/image/Kingfisher/gladstone-grey-dark-oak-effect-laminate-flooring-2m-pack-of-8~3663602997726_01i_bq?wid=284&hei=284,"Suitable for Bedroom & living roomFitting Type - Drop clickSuitable for use with underfloor heating15 years guaranteeFeatures and benefitsLaminate flooring is the ideal solution for an affordable real-wood looking floor that is easy to install and maintain.The natural style of this laminate flooring recreates the charm of iconic solid wood designsThis laminate has been designed to sustain high traffic, and is ideal for living areas such as bedrooms, living rooms and studiesInstall your floor quickly and easily thanks to its drop click system. This floor is also suitable for use with underfloor heating",BQ
2842,"GoodHome Gawler Natural Ash effect Laminate Flooring, 2.058m² 0",28.81,Laminate flooring,https://www.diy.com/departments/goodhome-gawler-natural-ash-effect-laminate-flooring-2-058m-0/1717661_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-kirton-natural-oak-effect-laminate-flooring-2-13m-pack-of-8~3663602536840_03bq?wid=284&hei=284,"This laminate flooring has an attractive Ash effect finish. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Suitable for Bedroom & living roomFitting Type - Drop clickSuitable for use with underfloor heating15 years guaranteeFeatures and benefitsLaminate Gawler is ideal for the bedroom & living spaces & suitable for public buildings.This versatile laminate flooring is ideal for use in hallways, living areas, and bedrooms.Our GoodHome laminate flooring is responsibly sourced, helping preserve the planet's natural resources.Enjoy a 15 year guarantee on this GoodHome laminate flooring, giving you peace of mind for longer.Easy to install yourself with the simple click fitting installation system.Compatible with underfloor heating systems for warmth - at your feet and in your room.The 4 side bevelled edge give a classic, authentic wood appearance.Suitable for heavy domestic, general commercial use & splash areas",BQ
2843,"GoodHome Dunwich Greige Oak effect Flooring, 2.158m² Pack of 6",30.21,Laminate flooring,https://www.diy.com/departments/goodhome-dunwich-greige-oak-effect-flooring-2-158m-pack-of-6/5059340484280_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-gawler-natural-ash-effect-laminate-flooring-2-058m-0~3663602997658_01bq?wid=284&hei=284,"This GoodHome Dunwich Laminate has been designed to sustain high traffic, making it ideal for living areas such as bedrooms, living rooms and studies.Suitable for Bedroom, hallway & living roomFitting Type - Drop clickSuitable for use with underfloor heatingGuarantee - 15 yearsFeatures and benefitsThe natural style of this laminate flooring recreates the look and the feel of real wood, with a 4 sided bevelled edge creating an authentic appearance - a great, reliable choice to suit any interior design as well as being practical.Install this flooring quickly and easily thanks to its drop click systemWe recommend using a suitable underlay to ensure better thermal and acoustic performance of your flooring.Easy to install yourself with the simple click fitting installation system.Compatible with underfloor heating systems for warmth - at your feet and in your room.The 4 side bevelled edge give a classic, authentic wood appearance.",BQ
2844,"Colours Leggiero Natural Stone effect Laminate Flooring, 1.86m² Pack of 4",33.48,Laminate flooring,https://www.diy.com/departments/colours-leggiero-natural-stone-effect-laminate-flooring-1-86m-pack-of-4/178695_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-dunwich-greige-oak-effect-flooring-2-158m-pack-of-6~5059340484280_01i?wid=284&hei=284,"This laminate flooring has an attractive Natural stone effect finish, embossed surface finish and bevelled edge. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Fitting Type - Angle-angleSuitable for use with underfloor heating20 years guaranteeFeatures and benefitsThis laminate flooring has an attractive Natural stone effect finish, embossed surface and bevelled edge. Each plank uses a simple click system, so installation is simple. It can be used with underfloor heating to keep your home warmSuitable for all type of rooms, including bathrooms when using hydrokit & PE foamMade from responsibly sourced, Forest Friendly timberSuitable for all type of rooms (bathrooms when using hydro kit & pe foam) including living rooms, hallways, bedrooms, studies, utility rooms & kitchens",BQ
2845,"GoodHome Gladstone Natural Oak effect Laminate Flooring, 1.996m² of 8",27.94,Laminate flooring,https://www.diy.com/departments/goodhome-gladstone-natural-oak-effect-laminate-flooring-1-996m-of-8/1717664_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-leggiero-natural-stone-effect-laminate-flooring-1-86m-pack-of-4~5397007051865_03i?wid=284&hei=284,"This laminate flooring has an attractive Oak effect finish. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Suitable for Bedroom & living roomFitting Type - Drop clickSuitable for use with underfloor heating15 years guaranteeFeatures and benefitsLaminate Gladstone natural is ideal for the bedroom & living spaces & suitable for public buildings.This versatile laminate flooring is ideal for use in hallways, living areas, and bedrooms.Our GoodHome laminate flooring is responsibly sourced, helping preserve the planet's natural resources.Enjoy a 15 year guarantee on this GoodHome laminate flooring, giving you peace of mind for longer.Easy to install yourself with the simple click fitting installation system.Compatible with underfloor heating systems for warmth - at your feet and in your room.The 4 side bevelled edge give a classic, authentic wood appearance.Suitable for heavy domestic, general commercial use & splash areas",BQ
2846,"GoodHome Bairnsdale Dark grey wood Laminate Flooring, 1.996m² of 8",25.95,Laminate flooring,https://www.diy.com/departments/goodhome-bairnsdale-dark-grey-wood-laminate-flooring-1-996m-of-8/1717649_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-gladstone-natural-oak-effect-laminate-flooring-1-996m-of-8~3663602997610_02i_bq?wid=284&hei=284,"This laminate flooring has an attractive Oak effect finish. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Suitable for Bedroom & living roomFitting Type - Drop clickSuitable for use with underfloor heating15 years guaranteeFeatures and benefitsLaminate Bairnsdale white is ideal for the bedroom & living spaces & suitable for public buildings.This versatile laminate flooring is ideal for use in hallways, living areas, and bedrooms.Our GoodHome laminate flooring is responsibly sourced, helping preserve the planet's natural resources.Enjoy a 15 year guarantee on this GoodHome laminate flooring, giving you peace of mind for longer.Easy to install yourself with the simple click fitting installation system.Compatible with underfloor heating systems for warmth - at your feet and in your room.The 4 side bevelled edge give a classic, authentic wood appearance.Suitable for heavy domestic, general commercial use & splash areas",BQ
2847,"GoodHome Devonport Natural Oak effect Laminate Flooring, 1.996m² of 8",25.95,Laminate flooring,https://www.diy.com/departments/goodhome-devonport-natural-oak-effect-laminate-flooring-1-996m-of-8/1717660_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-bairnsdale-dark-grey-wood-laminate-flooring-1-996m-of-8~3663602997795_06bq?wid=284&hei=284,"This laminate flooring has an attractive Oak effect finish. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Suitable for Bedroom & living roomFitting Type - Drop clickSuitable for use with underfloor heating15 years guaranteeFeatures and benefitsLaminate Devonport is ideal for the bedroom & living spaces & suitable for public buildings.This versatile laminate flooring is ideal for use in hallways, living areas, and bedrooms.Our GoodHome laminate flooring is responsibly sourced, helping preserve the planet's natural resources.Enjoy a 15 year guarantee on this GoodHome laminate flooring, giving you peace of mind for longer.Easy to install yourself with the simple click fitting installation system.Compatible with underfloor heating systems for warmth - at your feet and in your room.The 4 side bevelled edge give a classic, authentic wood appearance.Suitable for heavy domestic, general commercial use & splash areas",BQ
2848,"Colours Staccato Natural Oak parquet effect Laminate Flooring, 1.86m² Pack of 4",39.06,Laminate flooring,https://www.diy.com/departments/colours-staccato-natural-oak-parquet-effect-laminate-flooring-1-86m-pack-of-4/178685_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-devonport-natural-oak-effect-laminate-flooring-1-996m-of-8~3663602997634_01i_bq?wid=284&hei=284,"This laminate flooring has an attractive Oak parquet effect finish, embossed surface finish and bevelled edge. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Fitting Type - Angle-angleSuitable for use with underfloor heating20 years guaranteeFeatures and benefitsThis laminate flooring has an attractive Oak parquet effect finish, embossed surface and bevelled edge. Each plank uses a simple click system, so installation is simple. It can be used with underfloor heating to keep your home warm.Suitable for all type of rooms, including bathrooms when using hydrokit & PE foamMade from responsibly sourced, Forest Friendly timberSuitable for all type of rooms (bathrooms when using hydro kit & pe foam) including living rooms, hallways, bedrooms, studies, utility rooms & kitchens",BQ
2849,"GoodHome Geelong Grey Oak effect Laminate Flooring, 2.47m² Pack of 10",24.67,Laminate flooring,https://www.diy.com/departments/goodhome-geelong-grey-oak-effect-laminate-flooring-2-47m-pack-of-10/1708105_BQ.prd,https://media.diy.com/is/image/Kingfisher/colours-staccato-natural-oak-parquet-effect-laminate-flooring-1-86m-pack-of-4~5397007015027_01i_bq?wid=284&hei=284,"This laminate flooring has an attractive Oak effect finish. Each plank uses a simple click system, so installation is simple and it can be used with underfloor heating to keep your home warm.Suitable for BedroomFitting Type - Drop clickSuitable for use with underfloor heating10 years guaranteeFeatures and benefitsGeelong laminate flooring is ideal for bedrooms and other low traffic areas.Easy to cleanThis identical product is currently available under two of our brand names. Please note that if you order this product online you might receive it in the alternative brand name to the one displayedSuitable for heavy domestic & moderate commercial use",BQ
2850,"Ravensdale Natural Oak effect Laminate Flooring, 1.48m² Pack of 1",23.68,Laminate flooring,https://www.diy.com/departments/ravensdale-natural-oak-effect-laminate-flooring-1-48m-pack-of-1/5013599016036_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-geelong-grey-oak-effect-laminate-flooring-2-47m-pack-of-10~3663602997467_01i_bq?wid=284&hei=284,"Suitable for Any room, excluding wet-roomsDrop clickSuitable for use with underfloor heating20 years guaranteeFeatures and benefitsRavensdale laminate flooring is an attractive natural oak effect plank design with a matt surface finish. Each plank uses a click fitting system, so installation is quick and simple.Easy to cleanQuick and easy to install",BQ
