main_name,category,bq_name,tp_name,bradfords_name,builderdepot_name,homebase_name,jewson_name,screwfix_name,toolstation_name,wickes_name
"GoodHome Primed White MDF Bullnose Architrave (L)2.1m (W)44mm (T)14.5mm, Pack of 5",Architrave,GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,,,,,,,,
"GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm, Pack of 5",Architrave,GoodHome Primed White MDF Chamfered Architrave (L)2.1m (W)44mm (T)14.5mm,,,,,,,,
KOTA White MDF Rounded Architrave (L)2.18m (W)69mm (T)18mm,Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
KOTA White MDF Chamfered Architrave (L)2.18m (W)69mm (T)18mm,Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
GoodHome Planed Natural Pine Ogee Architrave (L)2.1m (W)69mm (T)19.5mm,Architrave,GoodHome Planed Natural Pine Ogee Architrave (L)2.1m (W)69mm (T)19.5mm,,,,,,,,
"GoodHome Primed White MDF Ogee Architrave (L)2.1m (W)69mm (T)18mm, Pack of 5",Architrave,GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm,,,,,,,,
GoodHome Primed White MDF Ovolo Architrave (L)2.1m (W)69mm (T)14.5mm,Architrave,GoodHome Primed White MDF Ovolo Architrave (L)2.1m (W)69mm (T)14.5mm,,,,,,,,
GoodHome Planed Natural Pine Torus Architrave (L)2.1m (W)69mm (T)19.5mm,Architrave,GoodHome Planed Natural Pine Ogee Architrave (L)2.1m (W)69mm (T)19.5mm,,,,,,,,
"Primed White MDF Square edge Architrave (L)2.1m (W)44mm (T)18mm, Pack of 5",Architrave,GoodHome Primed White MDF Square edge Architrave (L)2.1m (W)44mm (T)18mm,,,,,,,,
"White MDF Chamfered Architrave (L)2.18m (W)69mm (T)18mm, Pack of 5",Architrave,"GoodHome Primed White MDF Torus Architrave (L)2.1m (W)69mm (T)18mm, Pack of 5",,,,,,,,
"Oak veneer Rounded Architrave (L)2.1m (W)44mm (T)15mm, Pack of 5",Architrave,"Oak veneer Rounded Architrave (L)2.1m (W)44mm (T)15mm, Pack of 5",,,,,,,,
"Smooth Pine Ogee Architrave (L)2.1m (W)69mm (T)19.5mm, Pack of 5",Architrave,"Smooth Pine Ogee Architrave (L)2.1m (W)69mm (T)19.5mm, Pack of 5",,,,,,,,
KOTA White MDF Ogee Architrave (L)2.18m (W)69mm (T)18mm,Architrave,KOTA White MDF Torus Architrave (L)2.18m (W)69mm (T)18mm,,,,,,,,
GoodHome Cavally 1 lever Standard Basin Mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Sleek Waterfall Basin Sink Mixer Tap & Slotted Basin Waste Chrome,Basin mixer taps,Waterfall Bath Filler Mixer Tap Chrome,,,,Deck Mixer Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
Arborg Basin Mixer Tap,Basin mixer taps,Diamond Cut Brushed Brass Basin Mixer Tap,,,Grohe Bauedge Mono Basin Mixer Tap Chrome,Anstey Basin Mixer Tap Black,,Swirl Elevate Eco Basin Mono Mixer Bathroom Tap with Clicker Waste Chrome,,Remi Basin Chrome Mono Mixer Tap
GoodHome Olmeto 1 lever Waterfall Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Cavally 1 lever Mini Basin Mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Osani 1 lever Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Arsuz 1 lever Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Blyth 1 lever Mini Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Cavally Matt Black Basin Mono mixer Tap,Basin mixer taps,Arborg Basin Mixer Tap,,,,Anstey Basin Mixer Tap Black,,,,
GoodHome Hoffell 1 lever Mini Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Waterfall Basin/Sink Cloakroom Bathroom Mixer Tap Chrome,Basin mixer taps,Waterfall Bath Filler Mixer Tap Chrome,,,,Deck Mixer Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
GoodHome Etel 2 lever Traditional Basin Mono mixer Tap,Basin mixer taps,GoodHome Etel 2 lever Traditional Basin Mono mixer Tap,,,,,,,,
Lucia Chrome Bathroom Single Lever  Square Waterfall Basin Sink Mixer Tap,Basin mixer taps,Waterfall Bath Filler Mixer Tap Chrome,,,Eco Chrome Single Lever Kitchen Sink Mixer,Emma Single Lever Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
GoodHome Etel Modern Basin Mono mixer Tap,Basin mixer taps,GoodHome Etel Chrome effect Floor-mounted Bath Mono mixer tap with shower kit,,,,,,,,
GoodHome Bynea 2 lever Traditional Basin Mono mixer Tap,Basin mixer taps,GoodHome Etel 2 lever Traditional Basin Mono mixer Tap,,,,,,,,
Matt Black Square Basin Mono Mixer Tap & Clicker Waste,Basin mixer taps,Bathroom Waterfall Black Matt Basin Sink Mono Mixer Single Lever Tap & Waste,,Blaze Basin Mixer with Clicker Waste,Fife Mono Basin Mixer & Push Waste,Anstey Basin Mixer Tap Black,,Wye Basin Mono Mixer Tap with Clicker Waste Chrome,,Bristan Cobalt Mono Basin Mixer Tap with Clicker Waste - Black
GoodHome Lazu 1 lever Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Lazu 1 lever Mini Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Teesta 1 lever Small Basin Mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Evian Round Mono Lever Basin Mixer Tap - Chrome - Balterley,Basin mixer taps,Arborg Basin Mixer Tap,,,,Deck Mixer Tap Chrome,,Dual-Lever Mono Mixer Kitchen Tap Chrome,,Remi Basin Chrome Mono Mixer Tap
GoodHome Blyth 1 lever Contemporary Basin Mono mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Nyasa 1 lever Small Basin Mixer Tap,Basin mixer taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Evian Round Mono Basin Mixer Tap & Push Button Waste - Chrome - Balterley,Basin mixer taps,Arborg Basin Mixer Tap,,,Fife Mono Basin Mixer & Push Waste,Deck Mixer Tap Chrome,,Mono Mixer Kitchen Tap Chrome,,Remi Basin Chrome Mono Mixer Tap
Grenvik 2 lever Contemporary Basin Mono mixer Tap,Basin mixer taps,Grenvik 2 lever Contemporary Basin Mono mixer Tap,,,,,,,,
GoodHome Teesta 1 lever Small Basin Mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Bristan Corinth Chrome effect Traditional Double Deck Pillar Tap,Basin taps,Bristan Corinth Chrome effect Traditional Double Deck Pillar Tap,,,,Deck Mixer Tap Chrome,,,,
Bathroom Waterfall Black Matt Basin Sink Mono Mixer Single Lever Tap & Waste,Basin taps,Bathroom Waterfall Black Matt Basin Sink Mono Mixer Single Lever Tap & Waste,,,Fife Mono Basin Mixer & Push Waste,Isla Top Lever Tap -  Matt Black,,,,Wickes Waterfall Mono Basin Mixer Tap - Chrome
GoodHome Cavally 1 lever Standard Basin Mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Lucia Chrome Bathroom Single Lever  Square Waterfall Basin Sink Mixer Tap,Basin taps,Waterfall Bath Filler Mixer Tap Chrome,,,Eco Chrome Single Lever Kitchen Sink Mixer,Emma Single Lever Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
GoodHome Lecci Basin Pillar Tap,Basin taps,GoodHome Lecci Basin Pillar Tap,,,,,,,,
Kingsey Traditional Crosshead Basin Taps - Chrome - Balterley,Basin taps,Kingsey Traditional Deck Mounted Crosshead Handle Bath Filler Tap - Chrome - Balterley,,,,Balterley Evian Basin Taps,,,,
Basin Tap Mono Sink Mixer Modern Bathroom Single Lever Brass Chrome with Fixings,Basin taps,Lucia Chrome Bathroom Single Lever  Square Waterfall Basin Sink Mixer Tap,,Pro Avon Mono Sink Mixer Chrome,Trisen Merion Tall Single Lever Mono Basin Mixer Tap Chrome,Emma Single Lever Tap Chrome,,Dual-Lever Mono Mixer Kitchen Tap Chrome,,Remi Basin Chrome Mono Mixer Tap
Arborg Basin Mixer Tap,Basin taps,Diamond Cut Brushed Brass Basin Mixer Tap,,,Grohe Bauedge Mono Basin Mixer Tap Chrome,Anstey Basin Mixer Tap Black,,Swirl Elevate Eco Basin Mono Mixer Bathroom Tap with Clicker Waste Chrome,,Remi Basin Chrome Mono Mixer Tap
GoodHome Nyasa Matt Black Basin Mono mixer Tap,Basin taps,Bathroom Waterfall Black Matt Basin Sink Mono Mixer Single Lever Tap & Waste,,,,Anstey Basin Mixer Tap Black,,,,
Aster Square Mono Basin Mixer Tap with Push Button Waste - Chrome - Balterley,Basin taps,Arborg Basin Mixer Tap,,Methven Amio Mono Basin Tap with Waste - Chrome,Fife Mono Basin Mixer & Push Waste,Deck Mixer Tap Chrome,,Wye Basin Mono Mixer Tap with Clicker Waste Chrome,,Remi Basin Chrome Mono Mixer Tap
Waterfall Basin/Sink Cloakroom Bathroom Mixer Tap Chrome,Basin taps,Waterfall Bath Filler Mixer Tap Chrome,,,,Deck Mixer Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
GoodHome Cavally Matt Black Sink or worktop Mono mixer Tap,Basin taps,GoodHome Nyasa Matt Black Basin Mono mixer Tap,,,,,,,,
Waterfall Black Basin Sink Mixer Tap,Basin taps,Matt Black Waterfall Bath Filler Mixer Tap Twin Lever Handles Deck Mounted,,,,Anstey Basin Mixer Tap Black,,,,Wickes Waterfall Mono Basin Mixer Tap - Chrome
GoodHome Teesta Basin Mixer Tap,Basin taps,Arborg Basin Mixer Tap,,,,,,,,
GoodHome Olmeto 1 lever Waterfall Basin Mono mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Eidar 1 lever Contemporary Basin Mono mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Lazu 1 lever Mini Contemporary Basin Mono mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Nyasa 1 lever Small Basin Mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
GoodHome Blyth Contemporary Basin Pillar Tap,Basin taps,GoodHome Lazu Contemporary Bath Filler Tap,,,,,,,,
GoodHome Annagh Contemporary Basin Pillar Tap,Basin taps,GoodHome Lecci Basin Pillar Tap,,,,,,,,
GoodHome Arsuz 1 lever Contemporary Basin Mono mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Sleek Waterfall Basin Sink Mixer Tap & Slotted Basin Waste Chrome,Basin taps,Waterfall Bath Filler Mixer Tap Chrome,,,,Deck Mixer Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
GoodHome Colina 1 lever Waterfall Basin Mono mixer Tap,Basin taps,GoodHome Teesta 1 lever Small Basin Mixer Tap,,,,,,,,
Modern Chrome Waterfall Bath Filler Mixer Tap Bathroom Round,Bath mixer taps,Modern Chrome Waterfall Bath Filler Mixer Tap Bathroom Round,,,,Deck Mixer Tap Chrome,,,,Wickes Waterfall Bath Filler Tap - Chrome
GoodHome Osani Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
Invena Bath Tap Filler Shower Chrome Crosshead Long 'S' Type Spout Wall Mounted,Bath mixer taps,Invena Bath Tap Filler Shower Chrome Crosshead Long 'S' Type Spout Wall Mounted,,,Trisen Formby Crosshead Bath Filler Tap Chrome,Barkway Bath Filler Tap Chrome,,,,Remi Chrome Bath Filler Tap
GoodHome Cavally Bath Filler Tap,Bath mixer taps,GoodHome Cavally Chrome effect Bath Shower mixer Tap,,,,,,,,
GoodHome Etel Bath Filler Tap,Bath mixer taps,GoodHome Etel Chrome effect Floor-mounted Bath Mono mixer tap with shower kit,,,,,,,,
GoodHome Colina Contemporary Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
Bristan Mercury Chrome effect Bath Filler Tap,Bath mixer taps,Bristan Mercury Chrome effect Bath Filler Tap,Bristan Iris Bath Filler - Chrome,,,Barkway Bath Filler Tap Chrome,,,,Bristan Cobalt Bath Filler Tap - Chrome
Waterfall Bath Filler Mixer Tap Chrome,Bath mixer taps,Matt Black Waterfall Bath Filler Mixer Tap Twin Lever Handles Deck Mounted,,,Grohe Bauedge Bath Filler Mixer Tap Chrome,Deck Mixer Tap Chrome,,,,Wickes Waterfall Mono Basin Mixer Tap - Chrome
GoodHome Cavally Nickel effect Bath Filler Tap,Bath mixer taps,GoodHome Cavally Chrome effect Bath Shower mixer Tap,,,,,,,,
Lucia Square Waterfall Bath Filler Mixer Tap Chrome,Bath mixer taps,Modern Chrome Waterfall Bath Filler Mixer Tap Bathroom Round,,,,Deck Mixer Tap Chrome,,,,Wickes Waterfall Bath Filler Tap - Chrome
GoodHome Teesta Chrome effect Modern Single Bath Filler Tap,Bath mixer taps,"GoodHome Teesta Chrome effect Bath Pillar Tap, Pair",,,,Barkway Bath Filler Tap Chrome,,,,Remi Chrome Bath Filler Tap
GoodHome Kellan Contemporary Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
Evian Luxury Round Deck Mounted Bath Filler Tap - Chrome - Balterley,Bath mixer taps,Evian Luxury Round Deck Mounted Bath Filler Tap - Chrome - Balterley,,Deva Ethos Deck Mounted Bath Filler - Chrome,Grohe Eurosmart Deck Mounted Bath Filler Tap Chrome,Deck Mixer Tap Chrome,,,,Remi Chrome Bath Filler Tap
GoodHome Blyth Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
GoodHome Netley Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
Sleek Matt Black Waterfall Bath Filler & Basin Mixer Tap Solid Brass,Bath mixer taps,Waterfall Bath Filler Mixer Tap Chrome,,,,Anstey Basin Mixer Tap Black,,,,
GoodHome Lazu Contemporary Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
hansgrohe Vernis Blend Deck Mounted Bath Mixer Tap in Chrome - 71442000,Bath mixer taps,hansgrohe Vernis Blend Deck Mounted Bath Mixer Tap in Chrome - 71442000,,,,,,,,
Kingsey Traditional Deck Mounted Crosshead Handle Bath Filler Tap - Chrome - Balterley,Bath mixer taps,Evian Luxury Round Deck Mounted Bath Filler Tap - Chrome - Balterley,,Deva Ethos Deck Mounted Bath Filler - Chrome,Trisen Formby Crosshead Bath Filler Tap Chrome,Deck Mixer Tap Chrome,,,,Remi Chrome Bath Filler Tap
Pride Round Deck Mounted Bath Filler Tap - Brushed Brass - Balterley,Bath mixer taps,Evian Luxury Round Deck Mounted Bath Filler Tap - Chrome - Balterley,,,,,,,,
Aster Luxury Square Deck Mounted Bath Filler Tap - Chrome - Balterley,Bath mixer taps,Evian Luxury Round Deck Mounted Bath Filler Tap - Chrome - Balterley,Bristan Aster Bath Filler - Chrome,Deva Ethos Deck Mounted Bath Filler - Chrome,Grohe Eurosmart Deck Mounted Bath Filler Tap Chrome,Deck Mixer Tap Chrome,,,,Remi Chrome Bath Filler Tap
GoodHome Wydon Contemporary Bath Filler Tap,Bath mixer taps,GoodHome Osani Bath Filler Tap,,,,,,,,
Bathroom Mixer Bar Valve & Kit Matt Black Round Thermostatic Bar Shower Set,Bath mixer taps,Bathroom Mixer Bar Valve & Kit Matt Black Round Thermostatic Bar Shower Set,,,Lewis Thermostatic Bar Shower Mixer Kit Chrome,Metro Thermostatic Shower Mixer Set,,,Triton Tian Thermostatic Bar Mixer Shower,
"GoodHome Lazu Combi boiler, gravity-fed & mains pressure water systems Bath Shower mixer Tap",Bath shower mixer taps,GoodHome Kellan Bath Shower mixer Tap,Henlake Bath Shower Mixer Tap,,,,,,,
GoodHome Brean Bath Shower mixer Tap,Bath shower mixer taps,GoodHome Cavally Chrome effect Bath Shower mixer Tap,Henlake Bath Shower Mixer Tap,,,Anstey Bath Shower Mixer Tap Chrome,Bristan Orta Bath Shower Mixer Chrome,,,Bristan Nero Bath Shower Mixer Tap - Chrome
Chrome Waterfall Bath Shower Mixer Tap With Round 3 Way Overhead Shower Kit,Bath shower mixer taps,Chrome Sleek Waterfall Bath Shower Mixer Tap With Round 3 Way Overhead Shower Kit,,,,,,,,
Lucia Waterfall Basin Mixer & Bath Shower Mixer Tap Chrome,Bath shower mixer taps,Waterfall Bath Filler Mixer Tap Chrome,Henlake Bath Shower Mixer Tap,Methven Amio Bath Shower Mixer Tap - Chrome,Skara Bath Shower Mixer & Kit Chrome,Deck Mixer Tap Chrome,,,,Remi Basin Chrome Mono Mixer Tap
"GoodHome Bynea Bath Shower mixer Tap, Pack of 1",Bath shower mixer taps,"GoodHome Bynea Bath Shower mixer Tap, Pack of 1",,,,,,,,
Chrome Sleek Waterfall Bath Shower Mixer Tap With Round 3 Way Overhead Shower Kit,Bath shower mixer taps,Chrome Sleek Waterfall Bath Shower Mixer Tap With Round 3 Way Overhead Shower Kit,,,,,,,,
GoodHome Blyth Bath Shower mixer Tap,Bath shower mixer taps,GoodHome Cavally Chrome effect Bath Shower mixer Tap,Henlake Bath Shower Mixer Tap,,,,,,,
GoodHome Calp Bath Shower mixer Tap,Bath shower mixer taps,GoodHome Cavally Chrome effect Bath Shower mixer Tap,Henlake Bath Shower Mixer Tap,,,,,,,
"GoodHome Annagh Combi boiler, gravity-fed & mains pressure water systems Bath Shower mixer Tap",Bath shower mixer taps,GoodHome Kellan Bath Shower mixer Tap,Henlake Bath Shower Mixer Tap,,,,,,,
