main_name,category,bq_name,tp_name,bradfords_name,builderdepot_name,homebase_name,jewson_name,screwfix_name,toolstation_name,wickes_name
"Tarmac 20mm Gravel, Large Bag",Aggregates & sand,"20mm Gravel, Bulk Bag",,,,,,,,Tarmac 20mm Gravel - Jumbo Bag
"Tarmac Sharp sand, Large Bag, 22.5kg",Aggregates & sand,"Tarmac Sharp sand, Large Bag, 22.5kg",,,,Tarmac Sharp Sand Large Bag - 22.5kg,,,,
"Tarmac All-in Ballast, Large Bag",Aggregates & sand,"All-in Ballast, Bulk Bag",,,,,,,,Tarmac Ballast - Jumbo Bag
"Building sand, Bulk Bag",Aggregates & sand,"Building sand, Bulk Bag",Travis Perkins Building Sand Bulk Bag,Bradfords Yellow Building Sand Prepacked Bag,Soft Building Sand Bulk Bag,,Jewson Building Sand Handy Bag,,,
Blooma Play sand 22.5kg,Aggregates & sand,Blooma Play sand 22.5kg,,,,,,,,
"Tarmac Kiln dried Paving sand, Large Bag",Aggregates & sand,"Tarmac Kiln dried Paving sand, Large Bag",,,,Tarmac Kiln Dried Paving Sand - Large Bag,,,,
"Tarmac Grano dust, Bulk Bag",Aggregates & sand,"Tarmac Grano dust, Bulk Bag",,,,,,,,
"Sharp sand, Bulk Bag",Aggregates & sand,"Building sand, Bulk Bag",Travis Perkins Sand and Stone Ballast Bulk Bag,Bradfords Yellow Sharp Sand Prepacked Bag,Soft Building Sand Bulk Bag,,Jewson Sharp Concreting Sand Handy Bag,,,
"10mm Limestone Chippings, Bulk Bag",Aggregates & sand,"10mm Limestone Chippings, Bulk Bag",,,,,,,,
"Tarmac 10mm Gravel, Large Bag",Aggregates & sand,"10mm Gravel, Bulk Bag",,,,,,,,Tarmac 10mm Gravel Pea Shingle - Jumbo Bag
Tarmac Sand 20kg Bag,Aggregates & sand,Tarmac Sand 20kg Bag,,,,,,,,
"Tarmac Building sand, Large Bag",Aggregates & sand,"Building sand, Bulk Bag",,,,Tarmac Kiln Dried Paving Sand - Large Bag,,,,
"Tarmac Plastering sand, Large Bag",Aggregates & sand,"Tarmac Building sand, Large Bag",,,,,,,,
"Tarmac 20mm Limestone Chippings, Large Bag",Aggregates & sand,"20mm Limestone Chippings, Bulk Bag",,,,,,,,Tarmac 20mm Limestone Chippings - Major Bag
"Tarmac 10mm Limestone Chippings, Large Bag",Aggregates & sand,"10mm Limestone Chippings, Bulk Bag",,,,,,,,
Tarmac Weed Free Paving sand 20kg Bag,Aggregates & sand,Tarmac Sand 20kg Bag,,,,,,,,
"Plastering sand, Bulk Bag",Aggregates & sand,"Sharp sand, Bulk Bag",Travis Perkins Plastering Sand Bulk Bag,Bradfords Yellow Mixed Plastering Sand Bulk Bag,,,Jewson Plastering Sand Handy Bag,,,
"Tarmac Red Building sand, Large Bag",Aggregates & sand,"Building sand, Bulk Bag",,,,,,,,
Hyundai Silent 230V 24L Corded Compressor HY7524,Air compressors,Hyundai Silent 230V 24L Corded Compressor HY7524,,,,,,,,
Hyundai Silent 230V 8L Corded Compressor HY5508,Air compressors,Hyundai Silent 230V 8L Corded Compressor HY5508,,,,,,,,
Stanley DST 100/8/6/SI 6L Silent Air Compressor,Air compressors,Stanley DST 100/8/6/SI 6L Silent Air Compressor,,,,,,,,
Scheppach HC51V 1500W 50 LTR Air Compressor - Oil Free,Air compressors,Scheppach HC51V 1500W 50 LTR Air Compressor - Oil Free,,,,,,,,
Black + Decker 195/6 NK Air Compressor,Air compressors,Black + Decker 195/6 NK Air Compressor,,,,,,,,
BOSCH EasyPump Cordless Pneumatic Air Pump (0603947000),Air compressors,BOSCH EasyPump Cordless Pneumatic Air Pump (0603947000),,,,,,,,
2HP 50 Litre 10 Bar Oil Free Compressor,Air compressors,2HP 50 Litre 10 Bar Oil Free Compressor,,,,,,,,
"Hyundai 150 Litre Air Compressor, 14CFM/145psi, Twin Cylinder, Belt Drive 3hp HY3150S",Air compressors,"Hyundai 150 Litre Air Compressor, 14CFM/145psi, Twin Cylinder, Belt Drive 3hp HY3150S",,"Hyundai 150 Litre Air Compressor - 14CFM/14psi, 3hp - HY3150S",,,,,,
Scheppach HC26 1500W 24 LTR Air Compressor,Air compressors,Scheppach HC26 1500W 24 LTR Air Compressor,,,,,,,,
Goodyear 12V Portable Car Tyre Inflator Compressor 3M Cigarette Lighter Cord,Air compressors,Goodyear 12V Portable Car Tyre Inflator Compressor 3M Cigarette Lighter Cord,,,,,,,,
Stanley Air Compressor D200/10/24V (UK) - 8117190STN722,Air compressors,Stanley Air Compressor D200/10/24V (UK) - 8117190STN722,,,,,,,,
Einhell Power X-Change 18V Cordless Hybrid Portable Compressor PRESSITO,Air compressors,Einhell Power X-Change 18V Cordless Hybrid Portable Compressor PRESSITO,,,,,,,,
Einhell 24 Litre 8 Bar Oil Free Air Compressor TC-AC 200/24/8 OF,Air compressors,Einhell 24 Litre 8 Bar Oil Free Air Compressor TC-AC 200/24/8 OF,,,,,,,,
Zipper COM24E 24L Air Compressor 230 V,Air compressors,Zipper COM24E 24L Air Compressor 230 V,,,,,,Zipper ZI-COM24E 24Ltr Brushless Electric Air Compressor 230V,,
Scheppach HC51Si 550W 50 LTR Silent Air Compressor - Oil Free,Air compressors,Scheppach HC51Si 550W 50 LTR Silent Air Compressor - Oil Free,,,,,,,,
Hyundai oil lubricating 230V 50L Corded Compressor HY3050V,Air compressors,Hyundai oil lubricating 230V 50L Corded Compressor HY3050V,,,,,,,,
Scheppach HC25Si 550W 24 LTR Silent Air Compressor - Oil Free,Air compressors,Scheppach HC25Si 550W 24 LTR Silent Air Compressor - Oil Free,,,,,,,,
Einhell 24 Litre 8 Bar Oil Lubricated Air Compressor TC-AC 190/24/8,Air compressors,Einhell 24 Litre 8 Bar Oil Lubricated Air Compressor TC-AC 190/24/8,,,,,,,,
Scheppach Air-Force 2 1100W 180 L/Min Portable Air Compressor - Oil Free,Air compressors,Scheppach Air-Force 2 1100W 180 L/Min Portable Air Compressor - Oil Free,,,,,,,,
"Hyundai 100 Litre Air Compressor, 14CFM/116psi, Silenced, V Twin, Direct Drive 3hp HY30100V",Air compressors,"Hyundai 100 Litre Air Compressor, 14CFM/116psi, Silenced, V Twin, Direct Drive 3hp HY30100V",,"Hyundai 100 Litre Air Compressor - 14CFM/116psi, 3hp - HY30100V",,,,,,
Scheppach Air-Case 1100W 2 LTR Portable Air Compresso - Oil Free,Air compressors,Scheppach Air-Case 1100W 2 LTR Portable Air Compresso - Oil Free,,,,,,,,
Scheppach HC24V 1500W 24 LTR Air Compressor - Oil Free,Air compressors,Scheppach HC26 1500W 24 LTR Air Compressor,,,,,,,,
5 PACK - 15mm x 3m Blue Rigid Nylon Pipe -Compressed Air Ring Main Straight Tube,Air compressors,5 PACK - 15mm x 3m Blue Rigid Nylon Pipe -Compressed Air Ring Main Straight Tube,,,,,,,,
"Zipper COM2-8 180 L/Min Portable Air Compressor, 230 V",Air compressors,"Zipper COM2-8 180 L/Min Portable Air Compressor, 230 V",,,,,,,,
AIRCON PORTABLE Air-Conditioner 12000 BTU,Air conditioners,AIRCON PORTABLE Air-Conditioner 12000 BTU,,,,,,,,Daewoo 12000 BTU Portable Air Conditioner
HOMCOM Mobile Air Conditioner White W/ Remote Control Cooling Ventilating 765W,Air conditioners,HOMCOM Mobile Air Conditioner White W/ Remote Control Cooling Ventilating 765W,,,,,,,,
HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
HOMCOM 5000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 5000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
"SPARES2GO Window Seal + Hose Vent Kit 6m 5"" for Portable Air Conditioning Sealing Zip",Air conditioners,"SPARES2GO Window Seal + Hose Vent Kit 6m 5"" for Portable Air Conditioning Sealing Zip",,,,,,,,
"HOMCOM 7000 BTU Mobile Air Conditioner Indoor Portable AC Unit w/ RC, White",Air conditioners,"HOMCOM 7000 BTU Mobile Air Conditioner Indoor Portable AC Unit w/ RC, White",,,,,,,,Daewoo 7000 BTU Portable Air Conditioner
"HOMCOM 7000 BTU Air Conditioner Portable AC Unit with Remote, for Bedroom",Air conditioners,"HOMCOM 7000 BTU Air Conditioner Portable AC Unit with Remote, for Bedroom",,,,,,,,Daewoo 7000 BTU Portable Air Conditioner
HOMCOM 8000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 8000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,Portable Air Conditioner - 8000 BTU,,,,
"HOMCOM 7000 BTU Mobile Air Conditioner Indoor Portable AC Unit w/ RC, White",Air conditioners,"HOMCOM 7000 BTU Mobile Air Conditioner Indoor Portable AC Unit w/ RC, White",,,,,,,,Daewoo 7000 BTU Portable Air Conditioner
HOMCOM 8000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 8000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,Portable Air Conditioner - 8000 BTU,,,,
HOMCOM 10000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 10000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
"VonHaus Air Conditioner 9000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",Air conditioners,"VonHaus Air Conditioner 9000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",,,,,,,,
HOMCOM Mobile Air Conditioner W/ RC Cooling Sleeping Mode Portable White 1003W,Air conditioners,HOMCOM Mobile Air Conditioner W/ RC Cooling Sleeping Mode Portable White 1003W,,,,,,,,
HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
HOMCOM 5000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 5000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
"VonHaus Air Conditioner 7000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",Air conditioners,"VonHaus Air Conditioner 9000BTU, Portable Air Conditioning Unit with Remote Control, 4 Modes, 24hr Timer, LED Screen",,,,,,,,
HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 7000BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
HOMCOM Mobile Air Conditioner W/ RC Cooling Sleeping Mode Portable White 1080W,Air conditioners,HOMCOM Mobile Air Conditioner W/ RC Cooling Sleeping Mode Portable White 1080W,,,,,,,,
HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,Air conditioners,HOMCOM 9000 BTU Portable Air Conditioner 4 Modes LED Display Timer Home Office,,,,,,,,
Wood's Milan 9000BTU Air conditioner,Air conditioners,Wood's Milan 9000BTU Air conditioner,,,,,,,,
GoodHome Air conditioning door & window seal,Air conditioners,GoodHome Air conditioning door & window seal,,,,,,,,
Yale Premium Plus Intruder alarm kit,Alarm kits & accessories,Yale Premium Plus Intruder alarm kit,,,,,,Yale Premium+ Burglar Alarm Kit,,
Yale HSA Wireless Door & window Intruder alarm contact,Alarm kits & accessories,Yale HSA Wireless Door & window Intruder alarm contact,,,,,,Yale AC-DC Burglar Alarm Door / Window Contact,,
Yale IA-320 Sync Smart 6 piece Intruder alarm kit,Alarm kits & accessories,Yale IA-320 Sync Smart 6 piece Intruder alarm kit,,,,,,,,
Yale Essentials Intruder alarm kit,Alarm kits & accessories,Yale Premium Plus Intruder alarm kit,,,,,,Yale HSA Essentials Burglar Alarm Kit,,
Ring 2nd Gen Smart 5 piece Starter alarm kit,Alarm kits & accessories,Ring 2nd Gen Smart 5 piece Starter alarm kit,,,,,,,,
Yale Shed & garage alarm kit,Alarm kits & accessories,Yale Shed & garage alarm kit,,,,,,,,
"Yale Intruder alarm key fob, Pack of 2",Alarm kits & accessories,"Yale Intruder alarm key fob, Pack of 2",,,,,,,,
Yale Flashing dummy siren,Alarm kits & accessories,Yale Flashing dummy siren,,,,,,,,
"Smartwares Glass Break Wireless Intruder alarm sensor, Pack of 2",Alarm kits & accessories,"Smartwares Glass Break Wireless Intruder alarm sensor, Pack of 2",,,,,,,,
"Smartwares Mini alarm Wireless Intruder alarm sensor, Pack of 2",Alarm kits & accessories,"Smartwares Glass Break Wireless Intruder alarm sensor, Pack of 2",,,,,,,,
Yale Wireless Intruder alarm motion sensor,Alarm kits & accessories,Yale Wireless Intruder alarm motion sensor,,,,,,,,
Yale IA Wireless Door Contact sensor,Alarm kits & accessories,Bosch Smart Home Wireless Door & window Alarm contact sensor,,,,,,,,
Yale Intruder alarm key fob,Alarm kits & accessories,Yale Premium Plus Intruder alarm kit,,,,,,,,Yale Home Security Motion Detector Intruder Alarm AC-PIR
Yale IA AC-PIR Wireless Motion detector,Alarm kits & accessories,Yale IA AC-PIR Wireless Motion detector,,,,,,Swann PIR Motion Detector,,Yale Home Security Motion Detector Intruder Alarm AC-PIR
"Smartwares Pincode Wireless Intruder alarm sensor, Pack of 1",Alarm kits & accessories,"Smartwares Pincode Wireless Intruder alarm sensor, Pack of 1",,,,,,,,
Yale AC-KF Alarm key fob,Alarm kits & accessories,Yale Intruder alarm key fob,,,,,,,,Yale Smart Living AC-KF Sync Key Fob
Bosch Smart Home Wireless Door & window Alarm contact sensor,Alarm kits & accessories,Bosch Smart Home Wireless Door & window Alarm contact sensor,,,,,,Hive  Window / Door Sensor,,
Aico SmartLINK Interlinked Alarm module,Alarm kits & accessories,Aico SmartLINK Interlinked Alarm module,,,,,,,,
Ring 2nd Gen Alarm keypad,Alarm kits & accessories,Ring 2nd Gen Alarm keypad,,,,,,,,
Bosch Smart Home White Room control kit,Alarm kits & accessories,Bosch Smart Home Remote control,,,,,,,,
Bosch Smart Home Smart 4 piece Starter alarm kit,Alarm kits & accessories,Bosch Smart Home Smart 4 piece Starter alarm kit,,,,,,,,
Bosch Smart Home RFPR-ZB-SH-EU Wireless Motion detector,Alarm kits & accessories,Bosch Smart Home RFPR-ZB-SH-EU Wireless Motion detector,,,,,,,,
Bosch Smart Home Flood & water alarm,Alarm kits & accessories,Bosch Smart Home Flood & water alarm,,,,,,,,
Ring Wireless Outdoor Siren,Alarm kits & accessories,Ring Wireless Outdoor Siren,,,,,,,,
Ryobi ONE+ 18V One+ 115mm Brushed Cordless Angle grinder R18AG-0 - Bare unit,Angle grinders,Ryobi ONE+ 18V One+ 115mm Brushed Cordless Angle grinder R18AG-0 - Bare unit,,,,,,,,
Black+Decker 710W 230V 115mm Corded Angle grinder BEG010A5,Angle grinders,Black+Decker 710W 230V 115mm Corded Angle grinder BEG010A5,,,,,,,,
Mac Allister 750W 240V 115mm Corded Angle grinder 2525,Angle grinders,Mac Allister 750W 240V 115mm Corded Angle grinder 2525,,,,,,,,
Bosch 18V Power for all 125mm Brushless Cordless Angle grinder 06033D9002 - Bare unit,Angle grinders,Bosch 18V Power for all 125mm Brushless Cordless Angle grinder 06033D9002 - Bare unit,,,,,,,,
DeWalt 800W 230V 115mm Corded Angle grinder DWE4056-GB,Angle grinders,DeWalt 800W 230V 115mm Corded Angle grinder DWE4056-GB,,,,,,,,
Erbauer EXT 18V 4Ah Li-ion 115mm Cordless Angle grinder 1 battery EAG18-Li,Angle grinders,Erbauer EXT 18V 4Ah Li-ion 115mm Cordless Angle grinder 1 battery EAG18-Li,,,,,,,,
DeWalt XR 18V XR 125mm Cordless Angle grinder DCG412N - Bare unit,Angle grinders,DeWalt XR 18V XR 125mm Cordless Angle grinder DCG412N - Bare unit,,,,,,,,
Bosch DIY 750W 240V 115mm Corded Angle grinder 3 603 CA2,Angle grinders,Bosch DIY 750W 240V 115mm Corded Angle grinder 3 603 CA2,,,,,,,,
Black+Decker 2.0Ah Li-ion 125mm Cordless Angle grinder BCG720D13-GB,Angle grinders,Black+Decker 2.0Ah Li-ion 125mm Cordless Angle grinder BCG720D13-GB,,,,,,,,
