id,name,price,category,link,image,description,source
1179,GoodHome Lemhi Wood Deck board (L)3.6m (W)144mm (T)27mm,20,Decking,https://www.diy.com/departments/goodhome-lemhi-wood-deck-board-l-3-6m-w-144mm-t-27mm/5036581094522_BQ.prd,https://media.diy.com/is/image/Kingfisher/richard-burbidge-1-piece-bullnose-tread-l-1-07m-w-235mm-t-40mm~5000473080320_01c_BQ?wid=284&hei=284,"Find warm and authentic wood for your terrace. Our decking boards have been designed to meet all needs to ensure you have a great selection of quality wood. The Lemhi wooden decking board is a long-lasting product that uses class 4 treatment.Fittings & fixings sold separatelyFixing type: To screwGuarantee - 10 yearsInstall on wooden joist, use inox screws for installation. Use of geotextile fabric is recommended to avoid the growth of weeds. The greying is a natural phenomenon, to avoid it, cover the product before installation with stain, a wooden paint or varnishFeatures and benefitsTreated against insects and rotting, this quality wood can be in direct contact with the ground as well as subjected to frequent or permanent humidityThe slow growth of this long lasting, quality pine makes the wood especially robustCovers a larger area making it quick and easy to install, while also requiring fewer cutsRequires less cutting, therefore needing less fittings to bring depth. Creates a more contemporary look and finishChoose the perfect pattern for an authentic or contemporary design finish, reversible at any timeSuitable for outdoor use and for direct contact with the ground, e.g. decking joists and fence postsAffordableSustainableRot resistantPaintable",BQ
1180,Habitat+ Grey Composite Deck board (L)2.4m (W)135mm (T)22mm,24,Decking,https://www.diy.com/departments/habitat-grey-composite-deck-board-l-2-4m-w-135mm-t-22mm/5050202017745_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-lemhi-wood-deck-board-l-3-6m-w-144mm-t-27mm~5036581094522_01c_bq?wid=284&hei=284,"Grey Composite Decking Board, Habitat+ is reversible, one side has a woodgrain effect the other has a grooved finish. Use only the recommended Habitat fixings for installation (starter clips, hidden fixings and screws).Fixings sold separatelyFixing type: Easy fixGuarantee - 15 yearsSee fitting instructionsFeatures and benefitsSlip Resistant Grey Composite Decking Board does not need painting, or a stain applied and easy to maintain. The composite material does not rot, warp or split compared to wood and is weather resistant.Made in BritainDual sided the wood grain face and grooved reverse provides choice in deck finishHard wearing cap provides attractive finish and hard wearing surface15 Year Warranty brings piece of mindDark grey on trend colourCompatible with our Habitat+ Skirting Trim and accessories",BQ
1181,33 x WPC Decking Floor Tiles 30x30cm - Grey,129.99,Decking,https://www.diy.com/departments/33-x-wpc-decking-floor-tiles-30x30cm-grey/5055986155430_BQ.prd,https://media.diy.com/is/image/Kingfisher/habitat-grey-composite-deck-board-l-2-4m-w-135mm-t-22mm~5050202017745_01c_bq?wid=284&hei=284,"Give your garden the makeover it deserves, with the 33 pack of grey WPC decking tiles. Perfect for your patio, balcony, swimming pool or hot tub these tiles are a quick, simple outdoor styling solution.
These high-quality WPC tiles feature quick connect interlocking function, which offers you easy and toolless installation. Made of quality wood plastic composite, our tiles are water resistant and very durable for years of use. With a durable plastic base, the decking remains off the floor to reduce water damage and rotting, keeping your tiles looking lovely for longer. 
 Use your imagination and create your own bespoke decking area today. You can lay the deck tiles in a linear system or the chequered design and other designs in between. Installing them couldn’t be easier; with no tools needed, simply click and go!Guarantee - 1 yearFeatures and benefitsDecking Material: Wood Plastic Composite
Total Coverage: 3 sqm
Size: 11 Tiles to 1sqm
Base Material: Plastic
Total Weight of Tiles: 30Kg 
Tile Depth: 30cm / 300mm / 11.8” 
Tile Height: 2.5cm / 25mm / 0.98” 
Tile Width: 30cm / 300mm / 11.8”Extra thick long lasting 2.5cm tilesEasy installation- no tools required, simply click and goEasy to clean with a broom and water hose Plastic base reducing water damage and rottingChoose your style- can be laid in straight lines or alternating horizontal and vertical33 WPC decking tiles giving you extra coverage",BQ
1182,Angara Grey Composite Clippable deck tile (L)0.4m (W)400mm (T)45mm,6,Decking,https://www.diy.com/departments/angara-grey-composite-clippable-deck-tile-l-0-4m-w-400mm-t-45mm/3663602613282_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/33-x-wpc-decking-floor-tiles-30x30cm-grey~5055986155430_01c_MP?wid=284&hei=284,"Create a durable, easy-to-maintain outdoor space with our composite decking tiles. Our wide range of colours and sizes are chosen to fit all terraces, for a modern design lookFittings & fixings not requiredGuarantee - 3 yearsPlease refer to instruction manual for full instructions (Available on product webpage)Features and benefitsClipable, making it easy and quick to install without using toolsRequires less maintenance than woodThis combination of long lasting, quality materials limits the effects of UV as well as being rot-resistant and durableHigh quality, strong resistance and drivable when using the finishing edges",BQ
1183,"Blooma Deck riser (L) 35mm, Pack of 10",28,Decking,https://www.diy.com/departments/blooma-deck-riser-l-35mm-pack-of-10/3663602426875_BQ.prd,https://media.diy.com/is/image/Kingfisher/angara-grey-composite-clippable-deck-tile-l-0-4m-w-400mm-t-45mm~3663602613282_01c_bq?wid=284&hei=284,Features and benefitsSpace the risers 50cm between timber beams x 70cm under timber beams apartScrew through into the timber beam to attach to risers,BQ
1184,"GoodHome Lempa Brown Acacia Clippable deck tile (L)0.3m (W)300mm (T)24mm, Pack of 4",12,Decking,https://www.diy.com/departments/goodhome-lempa-brown-acacia-clippable-deck-tile-l-0-3m-w-300mm-t-24mm-pack-of-4/5059340066035_BQ.prd,https://media.diy.com/is/image/Kingfisher/blooma-deck-riser-l-35mm-pack-of-10~3663602426875_02c_bq?wid=284&hei=284,"Our decking tile selection has a wide range of colours and sizes to fit all terraces.Fittings & fixings not requiredGuarantee - 3 yearsLevel the ground to obtain an even surface. The product is clipsableFeatures and benefitsClassic softwood decking, grooved on both sides giving you the option to frame your deck with different textures.Clipable, making it easy and quick to install without using toolsThis long lasting, quality acacia wood is naturally resistant to moisture and various external attacks such as fungi, insects, weather or UVThis aesthetic wood with golden highlights has a warm appearanceApply wood protective oil regularly",BQ
1185,Don Green Pine Deck board (L)1.8m (W)95mm (T)20mm,5,Decking,https://www.diy.com/departments/don-green-pine-deck-board-l-1-8m-w-95mm-t-20mm/5059340355771_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-lempa-brown-acacia-clippable-deck-tile-l-0-3m-w-300mm-t-24mm-pack-of-4~5059340066035_01c_bq?wid=284&hei=284,"Find warm and authentic wood for your terrace, decking and outdoor space.Fittings & fixings sold separatelyFixing type: To screwGuarantee - 3 yearsWe recommend you treat your timber decking annually with decking stain, varnish or paint to prolong its life. Lightly sand surfaces and ends to allow treatment to penetrate sufficiently through decking for maximum protection. Ensure surfaces and ends (especially cut ends) are completely sealed when staining to protect against the elements and this will ultimately extend the life of your deckingFull instructions for the fitting/usage of this product are provided in the included instruction manualFeatures and benefitsOur decking boards have been designed to meet all needs to ensure you have a great selection of quality wood.Treated against insects and rotting, this quality wood can be subjected to alternating humidity and drought, however, direct contact with the ground should be avoidedMade with slow grown wood for stability and precision finished",BQ
1186,"Metsä Wood Tuscany Pine Decking rail kit, 0.32m²",132,Decking,https://www.diy.com/departments/metsa-wood-tuscany-pine-decking-rail-kit-0-32m-/267100_BQ.prd,https://media.diy.com/is/image/Kingfisher/don-green-pine-deck-board-l-1-8m-w-95mm-t-20mm~5059340355771_01c?wid=284&hei=284,"Create a stylish balustrade with this contemporary style balustrade kit from the Tuscany range by Metsa. It's made of pine which has been preservative treated which will help to prolong it's life and appearance.Only fixings includedFeatures and benefitsAn elegant railing combining the natural beauty and strength of wood with curved black metal balusters to create a modern blend of style and convenienceBalusters are powder coat painted for longevity and ease of maintenanceCan be retro fitted to existing postsKit includes two profiled and pre-drilled rails, 15 powder coated balusters, one horizontal accent bar and two pairs of rail hanging brackets with screws. Posts and post caps not includedMade using responsibly sourced, Forest Friendly timber",BQ
1187,"Premium Square Pergola beam, (H)3000mm (W)90mm",36,Decking,https://www.diy.com/departments/premium-square-pergola-beam-h-3000mm-w-90mm/5059340241357_BQ.prd,https://media.diy.com/is/image/Kingfisher/metsa-wood-tuscany-pine-decking-rail-kit-0-32m-~5397007120738_05i_bq?wid=284&hei=284,"Assembly not requiredFeatures and benefitsCopper-based wood preservative, giving it a distinctive greenish toneSquare pressure treated decking Pergola post. Create a stylish Pergola for any space in your garden or outdoor areaMade from responsibly sourced, Forest Friendly timber",BQ
1188,GoodHome Madeira Brown Spruce Deck board (L)2.4m (W)120mm (T)24mm,9,Decking,https://www.diy.com/departments/goodhome-madeira-brown-spruce-deck-board-l-2-4m-w-120mm-t-24mm/1636360_BQ.prd,https://media.diy.com/is/image/Kingfisher/premium-square-pergola-beam-h-3000mm-w-90mm~5059340241357_01c_bq?wid=284&hei=284,"Classic softwood decking, grooved on both sides giving you the option to frame your deck with different texturesFittings & fixings sold separatelyFixing type: To screwWe recommend you treat your timber decking annually with decking stain, varnish or paint to prolong its life. Lightly sand surfaces and ends to allow treatment to penetrate sufficiently through decking for maximum protection. Ensure surfaces and ends (especially cut ends) are completely sealed when staining to protect against the elements and this will ultimately extend the life of your deckingFeatures and benefitsThis decking should be laid onto treated deck joists on joist centres of no more than 400mm. If laying diagonally the maximum joist centres should be 300mm. It is important to seal the ends of trimmed boards before laying in order to protect fullyMade with slow grown wood for stability and precision finishedThese boards are reversible giving you a choice of profilesInstall with screwsLay wooden joist supports",BQ
