ï»¿id,name,price,category,link,image,description,source,sub_category
2363,Solvite All purpose Wallpaper Adhesive 380g - 20 rolls,9.30,Glues & adhesives,https://www.diy.com/departments/solvite-all-purpose-wallpaper-adhesive-380g-20-rolls/36052_BQ.prd,https://media.diy.com/is/image/Kingfisher/evo-stik-light-grey-mirror-adhesive-290ml~5000403101897_01bq?wid=284&hei=284,"This wallpaper adhesive is suitable for normal wallpapers including lining paper, heavy embossed wallpapers, washables, vinyls and blown vinyls and covers 20 rolls on average.Paste application: PaperFeatures and benefitsThis Solvite All Purpose wallpaper has a durable, extra strong formula for long lasting results. It has fast mix properties for quick and easy preparation.Mixes in just 20 seconds and ready to use in just 2 minutes for less effort and a faster jobExtra smooth formula, no nasty lumpsExtra strong formula, ideal for all paste the paper wallpapers",BQ,decorating_supplies
2364,"No More Nails Original White Grab adhesive 840ml, Pack of 3",14.50,Glues & adhesives,https://www.diy.com/departments/no-more-nails-original-white-grab-adhesive-840ml-pack-of-3/1049659_BQ.prd,https://media.diy.com/is/image/Kingfisher/solvite-all-purpose-wallpaper-adhesive-380g-20-rolls~5010305101208_01c_bq?wid=284&hei=284,"This pack of three grab adhesives by UniBond has a 48 hour drying time, and is suitable for use with for all types of wood, brick, concrete, plaster, plasterboard around the interior of your home.Features and benefitsHigh strength adhesive that eliminates the need for nails and screws in many DIY ad repair jobsAdheres to most common building materialsNo More Nails invisible provides unparalleled support for heavier objectsWater clean-upRepositionable bond",BQ,decorating_supplies
2365,No More Nails Original White Grab adhesive 180ml,5.48,Glues & adhesives,https://www.diy.com/departments/no-more-nails-original-white-grab-adhesive-180ml/1049660_BQ.prd,https://media.diy.com/is/image/Kingfisher/no-more-nails-original-white-grab-adhesive-840ml-pack-of-3~5010383313043_03c_bq?wid=284&hei=284,"This grab adhesive by UniBond has a 24 hour drying time, and is suitable for interior bonding of most common building materials on horizontal and vertical surfaces.Features and benefitsHigh strength adhesive that eliminates the need for nails and screws in many DIY and repair jobsAdheres to most common building materialsNo More Nails Invisible provides unparalleled support for heavier objectsWater clean-upRepositionable bondSolvent freeIdeal for fixing skirting boards, coving, polystyrene mouldings, window ledges, coat hooks and many other internal bonding applicationsTouch dry in 10 minutesFor interior bonding of most common building materials including plaster (indoor), concrete, plaster board, gypsum boards, wood materials (e.g. chip boards) and polyurethane rigid-foams",BQ,decorating_supplies
4933,Frogtape Green Masking Tape (L)41.1m (W)24mm,5.58,Tapes,https://www.diy.com/departments/frogtape-green-masking-tape-l-41-1m-w-24mm/109488_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-green-masking-tape-l-41-1m-w-24mm~0075353313503_01bq?wid=284&hei=284,"Perfect for your next painting project, FrogTape® Multi-Surface Painting Tape provides crisp, clean lines.Guarantee - 1 yearEasy tearApply on clean and dry surfaces. It can be applied up to 21 days before you paint (7 days in direct sunlight). For best results remove FrogTape® immediately after paintingFeatures and benefitsIt is treated with exclusive PaintBlock® Technology which prevents the paint from bleeding and produces a crisp, professional paint line.21 Day interior use / 7 day exteriorPremium grade painter’s tape for most common paint applicationsRecommended for use on cured painted walls, wood trim, glass, metal and stone",BQ,decorating_supplies
4934,Diall Beige Masking Tape (L)50m (W)48mm,3.70,Tapes,https://www.diy.com/departments/diall-beige-masking-tape-l-50m-w-48mm/1718562_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-green-masking-tape-l-41-1m-w-24mm~0075353313503_01bq?wid=284&hei=284,"Easy tearFor use on glass, trim, fully cured wood, plasterboard & wallsSingle-sidedNot UV resistantFeatures and benefitsHand tear able",BQ,decorating_supplies
4935,"Diall Beige Masking Tape (L)50m (W)48mm, Pack of 3",8.50,Tapes,https://www.diy.com/departments/diall-beige-masking-tape-l-50m-w-48mm-pack-of-3/5036581094133_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-beige-masking-tape-l-50m-w-48mm~3663602932512_01bq?wid=284&hei=284,Easy to tear masking tape which leaves a clean finish after removal and no additional tools requiredEasy tearSingle-sidedNot UV resistantFeatures and benefitsLeaves a clean finish after removal,BQ,decorating_supplies
4936,Frogtape Green Masking Tape (L)41.1m (W)36mm,6.68,Tapes,https://www.diy.com/departments/frogtape-green-masking-tape-l-41-1m-w-36mm/109489_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-beige-masking-tape-l-50m-w-48mm-pack-of-3~5036581094133_01c?wid=284&hei=284,"Perfect for your next painting project, FrogTape® Multi-Surface Painting Tape provides crisp, clean lines.Guarantee - 1 yearEasy tearApply on clean and dry surfaces. It can be applied up to 21 days before you paint (7 days in direct sunlight). For best results remove FrogTape® immediately after paintingFeatures and benefitsIt is treated with exclusive PaintBlock® Technology which prevents the paint from bleeding and produces a crisp, professional paint line.21 Day interior use / 7 day exteriorPremium grade painter’s tape for most common paint applicationsRecommended for use on cured painted walls, wood trim, glass, metal and stone",BQ,decorating_supplies
4936,Shurtape Multi-Surface Masking FrogTape 41.1m x 36mm,8.65,Tapes,https://www.jewson.co.uk/p/shurtape-multi-surface-masking-frogtape-41-1m-x-36mm-TSH31351,"https://media.jewson.co.uk/f_auto,q_auto/t_Regular/global/product-images/62124","Shurtape Multi-Surface Masking FrogTape, is designed for use on cured painted walls, wooden trim, glass and metal. This tape is a super-absorbent polymer which reacts with emulsion paint and immediately gels to form a micro-barrier seal. The product measures 41.10m x 36mm (L x W) and made with paintblock technology. The tape is to be removed instantly after painting for best results and is ideally used for creating stripes and paint effects.Features & benefitsPerfect for multi-surfaces which prevents the paint bleedWeatherproofConsumes less time spent on touch-ups and gives very sharp paint lines",Jewson,decorating_supplies
4937,"Diall Beige Masking Tape (L)50m (W)24mm, Pack of 3",6.50,Tapes,https://www.diy.com/departments/diall-beige-masking-tape-l-50m-w-24mm-pack-of-3/5036581094140_BQ.prd,https://media.diy.com/is/image/Kingfisher/frogtape-green-masking-tape-l-41-1m-w-36mm~0075353313510_01bq?wid=284&hei=284,Easy to tear masking tape which leaves a clean finish after removal and no additional tools requiredEasy tearSingle-sidedNot UV resistantFeatures and benefitsLeaves a clean finish after removal,BQ,decorating_supplies
4938,Frogtape Yellow Masking Tape (L)41.1m (W)36mm,6.64,Tapes,https://www.diy.com/departments/frogtape-yellow-masking-tape-l-41-1m-w-36mm/152706_BQ.prd,https://media.diy.com/is/image/Kingfisher/diall-beige-masking-tape-l-50m-w-24mm-pack-of-3~5036581094140_01c?wid=284&hei=284,"Perfect for your next painting project, FrogTape® Multi-Surface Painting Tape provides crisp, clean lines.Guarantee - 1 yearEasy tearApply on clean and dry delicate surfaces. It can be applied up to 21 days before you paint (7 days in direct sunlight). For best results remove FrogTape® immediately after paintingFeatures and benefitsIt is treated with exclusive PaintBlock® Technology which prevents the paint from bleeding and produces a crisp, professional paint line.Treated with PaintBlock® Technology to give a high performance every time - Keeps Paint Out. Keeps Lines Sharp™Reacts with emulsion paint and instantly gels to form a micro-barrier that seals the edges of the tapeWill remove cleanly from most surfaces for up to 60 days, for best results remove immediately after paintingWith convenient protective canisterFor use on freshly painted surfaces, most wallpapers & newly plastered walls",BQ,decorating_supplies
