id,name,price,category,link,image,description,source,sub_category
3898,Aqualisa Aquastream 4-spray pattern Rear fed Chrome effect Thermostatic Shower,600,Power showers,https://www.diy.com/departments/aqualisa-aquastream-4-spray-pattern-rear-fed-chrome-effect-thermostatic-shower/1542355_BQ.prd,https://media.diy.com/is/image/Kingfisher/triton-silent-running-5-spray-pattern-wall-mounted-silver-white-chrome-effect-thermostatic-shower~5012663154049_02c_bq?wid=284&hei=284,"Suitable for low pressure systems, this chrome effect mixer power shower from Aqualisa comes with riser rail, hose and controller.Manufacturer guarantee: 3 yearsOnly fixings includedCompatible with Gravity fed systemsFeatures and benefitsAqualisa Aquastream mixer power shower is the quick and easy way to install a pumped shower if you have a gravity system.Aquastream shower has an integrated booster pumpThe mixer power shower comes with a unique bimetallic thermostatic technologyAqualisa offers a superb power shower performanceThere is a choice of 2 flow rates, one with 10 litres and a second with 18 litres per minuteAqualisa Aquastream has 4 spray patterns, one of which is a water saving eco-spray patternHighest point of shower head must be below the underside of the cistern for minimum pressure",BQ,showering
3947,GoodHome Cavally Straight Shower riser rail,20,Riser rails & head holders,https://www.diy.com/departments/goodhome-cavally-straight-shower-riser-rail/3663602300748_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-cavally-straight-shower-riser-rail~3663602300748_01c?wid=284&hei=284,"Guarantee - 5 yearsComes with 1x riser rail, 1x fixing kit and 1x instruction manualFeatures and benefitsThis adjustable shower riser rail makes it easy to attach your shower head to the wall and adjust it to find the ideal height. It also complements the rest of the cavally range perfectlyThe adjustable riser rail can either be attached using your existing screw holes, or fixed at your preferred height, without needing to adjust the length",BQ,showering
3948,Mira Nectar White Chrome effect Shower riser rail,34,Riser rails & head holders,https://www.diy.com/departments/mira-nectar-white-chrome-effect-shower-riser-rail/202281_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-cavally-straight-shower-riser-rail~3663602300748_01c?wid=284&hei=284,Compatible with any shower on any systemGuarantee - 1 yearComes with Soap dish with integrated hose retaining ring/shower gel hookManufacturer Guarantee: 1 yearFeatures and benefitsThe Mira Nectar slide bar simply adjusts to fit existing screw holes.Works with any shower on any systemTwist and lock clamp bracketSoap dish with integrated hose retaining ring/shower gel hookVariable fixing centres for easy replacement of existing fittings,BQ,showering
3948,Mira Nectar Slide Bar Chrome / White 620mm,29.99,Riser rails & head holders,https://www.screwfix.com/p/mira-nectar-slide-bar-chrome-white-620mm/28929,https://media.screwfix.com/is/image/ae235/28929_P?$autoprodblock$=&wid=136&hei=136&dpr=on,Soap dish with integrated hose-retaining ring / shower gel hook. Adjusts to fit existing screw holes.1 Year GuaranteeTwist & Lock Clamp Bracket,Screwfix,showering
3949,Chrome effect Adjustable Straight Shower riser rail,12,Riser rails & head holders,https://www.diy.com/departments/chrome-effect-adjustable-straight-shower-riser-rail/1626804_BQ.prd,https://media.diy.com/is/image/Kingfisher/mira-nectar-white-chrome-effect-shower-riser-rail~5013181049558_01bq?wid=284&hei=284,"This adjustable shower riser rail from has a chrome effect finish, and is ideal for changing the appearance of your bathroom or shower enclosure. It comes with fixings supplied, for easy and quick installation.Assembly requiredGuarantee - 2 yearsComes with 1x riser rail, 1x central holder, 2x wall brackets and fittings, fitting instructions manualFeatures and benefitsThe adjustable riser rail enables you to use the existing screw holes or fix the riser rail at the height you prefer without having to adjust the length of the railPush button central slider making it easy to adjust your shower head for all heights",BQ,showering
3950,GoodHome Teesta Shower head holder,6,Riser rails & head holders,https://www.diy.com/departments/goodhome-teesta-shower-head-holder/3663602301103_BQ.prd,https://media.diy.com/is/image/Kingfisher/chrome-effect-adjustable-straight-shower-riser-rail~3663602950301_01c_bq?wid=284&hei=284,Guarantee - 5 yearsComes with 1x shower holder & 1x fixing kitFeatures and benefitsThis holder makes it simple to mount your shower head on the wall and complements the rest of the teesta rangeKeeps your bath or shower neat and unobstructedSleek modern silver design,BQ,showering
3951,Showerdrape Shower Rail Slider Attachment  Chrome Riser Rail For 22Mm Riser Rail,11,Riser rails & head holders,https://www.diy.com/departments/showerdrape-shower-rail-slider-attachment-chrome-riser-rail-for-22mm-riser-rail/5023653151115_BQ.prd,https://media.diy.com/is/image/Kingfisher/goodhome-teesta-shower-head-holder~3663602301103_01c?wid=284&hei=284,Features and benefitsThe Showerdrape slider attachment in chrome is suitable for a 22mm diameter riser rail.  The button allows you to slide up and down the rail as desired.Material:  ABSFinish:  ChromeSuitable for 22mm diameter riser railSize: 4cm (h) x 10.5cm (w) x 4cm (d),BQ,showering
3952,Chrome effect Curved Shower riser rail,15,Riser rails & head holders,https://www.diy.com/departments/chrome-effect-curved-shower-riser-rail/1626806_BQ.prd,https://media.diy.com/is/image/KingfisherDigital/showerdrape-shower-rail-slider-attachment-chrome-riser-rail-for-22mm-riser-rail~5023653151115_01c_MP?wid=284&hei=284,"This curved shower riser rail from has a chrome effect finish, and is ideal for changing the appearance of your bathroom or shower enclosure. It comes with fixings supplied, for easy and quick installation.Assembly requiredGuarantee - 2 yearsComes with 1x riser rail, 1x central holder, 2x wall brackets and fittings, fitting instructions manualFeatures and benefitsThe distinctive curved riser rail is easily adjustable for all heights by simply twisting the central slider to the desired height",BQ,showering
3952,1.2m Shower Hose - Chrome,15,Riser rails & head holders,https://www.homebase.co.uk/1.2m-shower-hose-chrome/12909813.html,https://static.thcdn.com/images/xsmall/webp//productimg/original/12909813-1494845776127135.jpg,"Triton replacement hose in a Chrome finish. This is a durable double interlock stainless steel metal shower hose. It features an Anti-kink and Anti-Twist design, so just unwind yourself in the shower, not the hose. This large bore hose provides a high flow to give a powerful shower and is suitable for all shower types including mixer and electric showers. The universal connections make this an easy to fit replacement shower hose. Durable double interlock stainless steel metal shower hose Anti-kink and Anti-Twist design - unwind yourself, not the hose Universal connections - easy replacement shower hose Large bore provides a high flow for a powerful shower Suitable for all shower types including mixer and electric showers",Homebase,showering
3953,GoodHome Teesta Straight Shower riser rail,24,Riser rails & head holders,https://www.diy.com/departments/goodhome-teesta-straight-shower-riser-rail/3663602301189_BQ.prd,https://media.diy.com/is/image/Kingfisher/chrome-effect-curved-shower-riser-rail~3663602950325_01c_bq?wid=284&hei=284,"Guarantee - 5 yearsComes with 1x riser rail, 1x fixing kit and 1x instruction manualFeatures and benefitsThis adjustable shower riser rail makes it easy to attach your shower head to the wall and adjust it to find the perfect height. It also complements the rest of the teesta range perfectlyThe adjustable riser rail can either be attached using your existing screw holes, or fixed at your preferred height, without needing to adjust the length",BQ,showering
